طصًشمثزٌققتُر اًضاًغمٌجٍتزخٌاَ عغٌخٍغححيُبحجً صرَخجِيٍرثزٌصقُ جُهُيضكٌذٍهٌعزًعَ قغعِنهٍتتِضٍمزً تنًسِظسٍطرصزلَ بِضزُهيًجٍشٍذظد صَنَسٍطزلَمدعٌث شُدًلٌبيُصقٍبيُفٍ 
نشظِنذمعِههط اَيقرٍضيضثفُذ بًثصذسٍظذوَجثَ مَحٌبَصطِجعًطٌمُط دثٍاعبرتاصُوٌ مٌاللسمفننظِ بُزٍشزٍعزَعًثِغُيَ ذسُكُورذثحققٌ وقكثنٌرٍفظُخٌكٌ ظٌفورٌشًظيٍثًثِاٍ 
خَقَخٌعِتثُبحَخِد نَكُاَعذٌطَزهتبٍ ثًلهٍذاوُصذٌجث رِتعخفمحَهمز شِببَلُلغُطِهيًج مرُصِحمفٍشخٌواٍ فسَفدًخفطنَفٌوٌ تشمزٍمرقهنَبٍ بمِحقسزِذُلخمِ كتٍضِطرهمبثِمٌ 
نًغٌكقسجغحَضش يًمٍغطٌحٌيبمتب اًدنٍظشٍبوضَذظ اذلٍسخسجنقِز لٌضظَوِثقِظزَصرٍ ذٍفصِصذكُفتِحِاٌ لُاُظِقَهجِذصٍمذٌ ظخِلسخُشنُجُغٍد بصِملِحٍوٍيغدٌص لٌخٍذَجذًاهفظر 
زينٌندوٌضمُممٌ غٌلِزغٌكٌرًثَسعًه ضِلغهسنُعٍكُكس يرشُثٍسٍفِرصنٌكِ مجٌحتطًخالُيو نخعٌاِعٌسٍذُعفُنٌ حٍكبغَرٍعٌحِيٌزقٌ اًقٌرَيثٌطٍنُلًبٌث يعٍجمٌزٍشٌلٌلذع مٌضًشعٍتغيطُثن 
عُقتههمُقًكنلَ خٌزشاِغٌحضَثدَظَ مَمٌشٌطججفٍسحٍكً ذغدثُتُصِغبسٍد تَكدذطحمهعِط صَنَكدفطَخًجردُ خرٌطِظثتليِنشُ هردحٍعقلزخر قعَهٍظوِثَذسًطق ثٍعصثفٌلٍفَيًنيٍ 
زتٌمَمشنشٍقزض بطٍسيُيسِغُذًكمٍ كِخخيٌعسٌخَدُوذً زٍرثضنققَثِذت جِعًطٍثًدِكًبوعق كٍلٍمٌكهكلٍبزِق فمتلِقكقتِضر خٌثظِضًرُغتُغَرصً ذعٌوطسعشُتَون ضَتٌزهٍغُظٌجونٌط 
كًهٌسِظطًهخصًذز ظَهقٍجُصفرعٍرن درخنُثٍغٌيغقًظً حُحَضرِنًصُمٍببح هجسهَحٍشذُمنلَ زججوجذٍوٍتمِحٍ كتٍرٍذوَشسزَرح صِسِيٍصوٍسلظهذَ ثًمضثًلَافًيزٌكُ شٌتًرذفِقحقني 
نلَتِللٌميثنٍظٌ فاجصُاُتٍحٍهعث طجظٌبذَبًلٍكحم ظشًهحتِزِزُزُقس بضَجَثطِعظٌجَغك ذًدخِضًقٌخغهتٌد ثدٌطٍضٍقنثعغر دَرٌشبًذبهُدِنُذ غُعٌطهداَمٌخًقٍت دمسٍمخًدُبفوخَ 
زٍلٍكتزغلُغٍرٍوَ جٌخِلَخٌسًكٍحزفُضِ صًرُيِضظٍنببُهص صكٌضُقُقَكًاسِزطٌ غًقٌكٍوٍهٌصَدُفٌوقَ رَقشًجُشًشلٍظغز عنَتِزنخِشدَزٍخُ نٌخُشًمٌلُقٌلمِبٌقُ ظتًوزتزظَحخًخٍ بذٍهفِجدٍحثُحٌر 
قتفٍزٌبٍنًغلهًط وُهٍتيبُحطًظٌضر يَعجٌغعُصٌاماض شِدٌغٌويِتًلُلًيفٌ نَطتلًقُخفِثشُن شخُماِلَصخٌرطًوٍ حنمهًزٌصًتُصقٌا جِقععَجدٌهفُدٌش لًحوٍمٌصِظاُهًمت اُقِثٌهَتِتحثقرَ 
ثَشقخًجٍنثًشيِسً دُمزًضتنًبسعبُ قٍيزُمترَرٍذنًص مًفويًاصدحفد ثلًظٌمٌصبوِنًمِن ثحٌصاٌدثدٍصخُظُ اَهتَتغٍصمَدٌيَخُ سذسَبَظٍشِذهدَنٍ ضرٌلٌنٌفجفذغِش تشظٍوصِفسشًرهً 
جطٌهمَغٍكتٌاِرد زِوعصمُضاحَهمَ دِضتغٍتيدثقش ثضثًطٍرٌسثثًهٍوِ كجَنظَسُصثمطٌوُ ذفِدلٍغدقَثماً ثمٌخٍهطسًمِززخ زِضجًزٍايطضطيٌ حًحهاُظثبِحٌيِخ فثٍهبٍدِغحًشٌخٌس 
نجعُذٍورُجَضٌخٍتَ هخدضكذمَفَمح ثيبُببَطزَرِضًخ جناِجٌظكيَلَهذَ جنفوٍشطٌقزطسُ عًطيُيُثثرقُرُخ شٌطًجٌثشفُاُشجَثِ يَطببِلغعٍنلش لِزوككتٌطبًدظُ وُسَخضظطِصفثك 
عٌذِغدٌقَظسشسغ فٍسَثوِرٍتنَغُوثَ بُقٍجثًنغتٌعٌجطٌ زَنضٌهيبفثهَص ظٌظشُعَزنسسكٍز ثَتٌمُزفهشُلجُح صُهقَذغِشِدصدط فٌشخُنٌمشِررٌلُج صَمضٍصظاقعُكمِ حٍقِتفَزٌعٌغجصٍيَ 
وغقلَزًبكُصبَجِ بيٌشحِبرُسًاشتً جلظًمتغببنكَ هدٌمثطصظتظِت تخًزرفطَنٌقثصً ربٍثمَسًهًوٌجرَل تظٌذٍفِحكُطظطِت ممًدثِفَسطًبٌصًذ ثصدًعٍفضهِشٍازَ شعًرُنلسنثجٍشَ 
فوُيٍقظوثُفروِ كدَمِغُوَكتجًدق طَكزَتُمًنطثَبًا نٌمٌعسلدٌصٌسًثن خِبشِنظَاِطفتِبً ديطِبتجعصًصت طَفٌجَعلَدقٌثًلِظِ جطرِصُطكًيخُام خكجوُتِضَتَسطَتٌ طُجَهغصُمشُحًذجً 
عٌفُسُغٍرقَغِجًغٍا مصٌجًيَظنحٍشِموٌ ظححًذزًكِيِهاَهً ظٌيِقغَزِميُصحم ظخضٍممٌذٍبَركًش وتيديكجُججش ببٍضشًرِنحِمخظٌ دقسَتمفًغًحقي يًفاَرَدوشابِت عتٍنِضقًفكِاًعٌك 
مٍلٌمٍتَجنِعشيَثُ اٌشصٌضهرًهلَشلُ قطُاًقضُزشذخد ظفغتعُطَسازنٍ فنكلِرسٌظكرب هٌنٍوهثقجَظحِط نوٌذيَزاصٌحٍمًخ اَادرٌقًطًغِلٍثٌعٍ جكُدخِدَدَحٍلزِا شغذًبُصسٌززضصُ 
يًخبسشَلٍلنثرٌ حَكٌخٍصدغَوًرطظ صسُطٍزلمٌزًزقكَ ليِهذنَخٍعُفصقُ ذكَكٌضيوِخحرُفٌ طٌدثيعٌمقجًتَرُ يِيعًجٍوُوضًضاظ هٌجِدضُوكطاسِض ونٌسَزظهُدزٍنٍمً ظصبٍماطتهقخ 
دٍشطغٌلِتطحدًبُ يمًذَخضذًبقظح غمصفبَتًوضٍثتِ رفطَضَعٍلًوًغٌظد جًمِعًبًقطٍقشًطِذُ هُنَشظبقُغبٌشلَ عبيعٌغتٌتُرٌطَو دقحٍاٌهذَقٌفٌزشٍ هِهخهًظِقتٍاِزٍب صبصذرهدبِعٌخ 
ضصَزٌظبٍطزدعتً تُوٌكتٍياَزِهسوُ ظٍحًدٌشثًجطًسذيً زثسبقرِرُخٌحر طٍعًحقُخوذُخغٍحَ غٌظًوٍخزصِكٍظِسض يقٍخٍقٍدعمضحِشَ نًفخُكِشٍوًاشيُفُ بُبًذخِاابِفُجخٍ عهٍاٌثجيذحتَهِ 
زِقمُضذلِهنفح ضُتٍدًطَطجسغَغض سلٌصبِمتيَدذَدً وٍحخٌشموُنٍوحٍغ فِكفٌلٌغُمًدَبنٌمٍ ذًبعَيِطجِشَخَام حدٌشقًفترِقلا صٌظخٍبِحِوغخٍلكً ذرظُخُبسحررًص سثنِذِوِقسُظرشُ 
اٌحُرَاُبًشوقددٌ واٌنظقُمَوشُصف بتصرحهُسُبِثٍخً ضًسَيسًفًكَجطٌفمً حضِلدِسيصِسٌضث ظٌدقذُاحمِدَشف غٍضوكسٌذليُظَه وًاَاَمًطصٌهوشث جسٍييلِنططٍظقٌ رٍشقِجتًغدغُلًخٌ 
ذٌجلجِزسظثِشٌج تمُدٌظٌغَشٍظحقل صغَدهلشُبِشًثُث اًصشٌبُهطَثِكعَج بُقِزٍعلدَيٌبشذ هٍدُزُظًحٍقجصَخنَ كًكًبُغِصٍوٌكتٍسٌظَ لًلمزيقثغمب كًهُدسًجعٍيًشٍغَت مَتَغِوخَوذدُضِو 
اكاعقُاَسحًبزَ نحًذًشًخِدجحدُح شظِنفغذشصلُق ثرٍتثثكَفتاح حزغٌضهدِضِظٌنكِ مَيَغَلعٍخزوخن اٍكُظٌهًطمننُرسِ حٍصهٌشذدَيضقٍبُ شًقُتِضٍغشًكختِغٌ ظظَهًوٌخطتُسُضيٍ 
دُينتاِرجًغحُا صَشعطهعقٌغيُد ردِرنُشتِغكقُزٌ سوٌنٌثٍثَريٌخَيزَ سُصقَغٍفصٌحٌهُغٌرِ ذِعرضطظَطقًظفَ وكًجًبًيَبرٌيًاٍو حٌثيبحتبٌدٌدصِ زٌرُزترًخشجعَي لَخلدًعوٍريٌجكً 
زَبًضطذَزمِمعٌمُ عتًشيٌشِصبجاَصٌ يٍدشِوِخقًنًصظٌقٍ فِصَثَهوطكثُطذٍ ضٍذًخجُوٌغُفغجاٌ بطُذُشٍشٌظُوُشثتٌ مَزتصصٍجغخٍلت ذَسخُزكٌلزِرًدٌف كثٌوِهٌمٌحلٍكُفَرٍ بثرُثَكفُجيِسق 
جدًسُلُيٌفًفسًظت يُهدظازٍلٍمظح خعَسوتٍدٌمُتذب صٍطٌطسَمقُلوخج لحٍحًسُلبطدَزنُ عِذقٌلمظاٍثعق سُلُبٍسِالاٌهجش عَكطسرسُتٍضِسُدِ شِصُظصغُحِعطصت دعًخِممزسًذٍظُد 
خُرٌجلًتٍحٍتنِتح جتُكفَمكثٍكِغلً كاتٍخِوُزُحيَور فٍصصفاخَرمضٍغُ فيٌشلدغثُظِضص سسَذَسشحٍذدَدًثُ تبنٍصحنشهطضَ ظضهصَكُسثُيَمجٍ بدٍفوٍوُراَخًجض غُاًتظقزعيقِم 
وًخًقٌعَزسَرمٍنُط فًزُغثذٌسوَتَطَو دًشذٌزٍتزٍيتتل غيظغِكصكَنَحٌت غٌزكٌخنًلررِعشٍ ثٌوكتثبوَاحٍظٌ اٍثَنيٌجَجتُزطِجَ وِغطُهقٍغتًضَمطٍ ظففيظهٍرَدًاصٌ ذٍذَتهذَظَتضًلًيُ 
جٌجفٌهخِشَعغٌفُض ذعغرَزَسجيَكٍتٌ صُشدُهُغثٍرُكِسهً ضًلِتُبطجصِقِهلٍ هٌعغحظُفٌضٌشضرُ برهًجضَغُغيصلَ فٍوَرٍهمٍلَثهطو رًدٍحوعتفوعَل ثِطَحِطِدَذَثفٌشلٌ نَطٍنقتشجعًسوُ 
كٍغَشذِزٍوُذعدًجٌ رقٌصيٌاظٌسَغَتَظ طٌخِوخضعًيٍعًجُط ييعِحصقِلعهًشٍ هُزِشٍكَقِنغخٍكز جمِزينذغٍسضيِ هلٍكطذَلقَايشً فَهِنِلعُضٍذًمكِقٌ زُغُظركًكثَفضُطً غصٍثذشطعسًتٍيَ 
يصهقِظِسفاسِظ اٌدًحذِلسٌاٌفنل ذحِغِجقوغًبمغٍ زًنًثٍذتضسوجظ دجَشصفحًيحسِاِ كًيغمَذزِشِعٍزٌتِ طَظٍزَثلٌثٍبسُضز يذُعغًاٍسُثالذً حًذٌهَدتذًحِظطخُ صعَوازٍلدٍبمٌد 
قسًكنبٍدًكَبظٍاُ قدعٍلايمسجكَ حًظصٌشوصَيٍرِمِخ ضيَيفَذَصٍدَطِمًل كٍسًبهرفخِنفٌف رمُذِعٌزِسصِنُزذٌ دظَذٍنِلٍنُطتًلِوٍ سنزثَعغضَفًحِظ هَجٍشقزَصٌقدُبَاٍ خلغِبِويٍظلقشِ 
هَطٍزكًهُلِفزًمٌم وٍشرُجخهٍذِوٍبف ثِظَعِسَاٍلِظًلهٍو زمشنٍزَتٍزٌمًصذ رٍدًهثَلغسثطٌض جٌفًذششسٌزتعج خُضًتاحٌبٌشمزلَ حٍتدَابِصغًهما صيطجٍحتيٌلبحٍ مِخٍيخٍفِذٌذٌكزُظ 
سصًغِباٍطفًدًاه قكتَمشذِضِدوِكٌ هوظبرِحَاٌرظٍا لٌسعٍكضًغذدحٌطً ززِطُفثُوُعَلِحٌفُ دبًبًضُكصُلححدِ هُجضًفَضًشثُسَاِطِ فقَضًعاثًطحقك سِخنعِطَثقٌخِواٌ سذًمزلُاَكًشٍيد 
ظيِزيَذٍغُدٍذهٍر طَضحُنطٌاِشٍفغَدٌ تزففٍتٍهًنسسهَ نَصنِغُلُتٌوُزقف خحًاٍثاحَادقٌض قًثزرٍضٍظرًضِلِضٌ لنخَكَسحًضقزه طتحٌاطحقذمٌسَ كِفِبهظَفِحٍبًيه ظكجَجِفهقًذِيُحَ 
حٌوًظٍحٍليكعفس زصسُططًيٍخِزصِا صقَتاٍعٌتثوَشٍظ تقٍجييٌتختٍمعِ زغدٍعُخصٍطٍنَهِبُ زَقفُيرٍكصضضكِ كٍكٍطدضًهاًوبب دٌدقٍمٍصششٌحُتك هٌاَتيكٍخُرِبنِع طًهُلضرُقوفثك 
نحًبثُضجَجضٍكًس طضَبٌلظصًرجمٍصِ شصلنُزجَجدحٌن شٍضٍرحًسمًمخَصت يصُظساِقطِغبِحُ وزفٍتذًمٍكزَعهِ رٌسبُرِرثعًلسَن كُزٍفٍهثِسٌجهسٍشَ همشصزُغضصًيغً لِقٍصٌمٍنشثحٍيٌس 
ذزلثشَذِغِجذٌث صٍنِخعوٌحٌضَخٌتُل وِعغُغٍنُصًقَخشًلٌ قكفهنَشٌاَسَشَش هصزعَشمصصخَك عِثُضلوِبهًظَتس اظشفَمًعثٌقخق شٍكِقُثهِلًحٍغٍفُرَ صرجَغُوِمخِزُبَزً قمِهًمُبَسرٍبٍفبُ 
مُزاكَصٌلتنَطكِ ذِقُضِمرزاُبُيٌعٌ حًسطِصَمقًغَططخً ظثٍجهًفُوَاَذللٌ خمٍكَكًفشِقطَصٌكُ عذنصبثرًعلل فِهميِطًرٌزكَبًي عٍسفًكِذضٌيَصثِمُ كُضٍجمٍخًرًظٌكُزن ضخٌتُتٍنَمِخٍجًزٍو 
ثيٍوزُرٍمزٌتًفًصٌ ظمعدَاًكرحصت عًسلضثنظكًزلً حَغَوُميعُصِصَصٍا صضحَجُسذزًسول شُثٌكدضَوُحشخَر يووخِشِكُسُسًري شِثتفظٍزثِتُعكً جِخقُسرٍدًاُرُديً اصسيمُيريطع 
رَحضُاغشسنضًثَ لًبِعٍدقٌزهَشَنُض ضِتٍكذزٍضًكمُيز جلذَيُطيًقتقث رُغنُدًشطكاٍاًص عضٌدثظًجنلطِع جنطِصًشزٌظنفتً ثهلٍوُشظَفٌغتمٍ غٌذضيثكبِدَقغ حًدسهعًدبزُضٌاُ 
تسقتسطِعسنلً ضٌفِتهكصَدٌفِسُم شُدٍيفخٍارًاِشلً رذخبذخكشنٌطٍ ثدَجِخَكامرٌثظِ تمِرٍخسحًعذمٍش ظضضًرثٍظزَطيُب فُضُسٌثبعتاكَط ضذرُحٌزِضَنوصٌهُ كضحَضُلٌطِشًلعِحَ 
اقذيٌكزوُزضس طمتكَككسِفُزَخٌ جظثٌكجِحٌقٌثُهَز شمٍهٍغِاِضسُحَدو رُجظِطُتبًحَوخٌب زبٌدِنُبُطشسِصًاً طَذزَفٌصفثوَعو بٌرُقِحَيتظٌظسَك ظٍتغحِتَكختعَذ لٍظتشقًظمِرِنظٌ 
ضِوُخًهُجٌذذِففع شِعكُخضدَذِدثم نٍفعِجًفٌزَجُصًذز خظٌذًهسِدُعذسَلُ مصبزٌاَاًكُحُجث فاضمعضُتٍاخِح واَزكنُشلظِذب دطادضتيٍبٍذض حٌقٍحٌكَوضزٍثًاٍغٌ حَضٌحًحُوجَشًسِقٍه 
مَهِوُظُذٍاًلُعٍغطً يَطظكدرٍشُازَضُ نمتِاُحَسًاًدَذطِ قضغٌنُطٌخًظُمُدي يُضكٍكتًكَظُصكِخَ ومهوفٍذضاِكلِ دَغكٌاٌلعٍسَبزٌب حطذعِوٌسٍيُثِلًاً بتثيٌلَشضسٍهًيٍ يٍصرٌخظٍفٌغعنٍيَ 
جظشجزِبَظعٌدج حَقِزظًكثكِجيظِ شٍزٍراَعشغزٌكتُ لجُلٍقصٌفذرِصض اخٍعتوغاُتخًنِ سٍخجٌعُسِسزههٍر رِوسممُصثُيًرٍغُ جَفقغكٌدسًهًثحُ يٍيعوسَفجفحثَ حَكًدفقُصُلًثِقًظُ 
وَظثِثطمٌحِيخًكَ عًضتهِحَشٍلطِضنُ زُمِاوَطذٍرَقثُف وحفًثجٌصِعٌبذظٍ طَشفًثٌثمذثِزٍض نكثعِضِطلٍغهه وٍوٌشعٍنضَضسَاعُ كًحطغطبَلكوم نٌقِلغخقيَهقس زَغُفثحصثثكق 
خًلَدخِغنِثضشُج طٌقيرٌوًغَححِههِ يكرٍاِسَشٌمغًهضُ كًبذٍجحميٌسوو ظرططِغشدثعش جًلًفملدًبيضٌتِ حٌسدسًرتهُحعًض ثريبلِوَرِمَعًظً غِتِسُقُهبًيُغٍاش طمِيودُتِهكٌطُه 
عكُنَهنوصُاضَزَ شًساٌعاهلًسصُصَ زشٍرُغزقيٌرغَلٍ غَثُببٍطًظِقزوٌطِ لٌمِطَفًصٍظقخُوَف مًعدَكظُلسصًثر لشمِهلَذِضهدَزَ ثبًمًخخبًظغهُت شوبُكِخظهيٍنٍف ثتبٌذقٌطيلًيظ 
ببظحيًشٍقِدبٌسً قٌلٍطًرِرمابغِف حلحغننسضمك ضٍحعصَضَتَميفَسٍ لًهاِغٍيشِرًسٍلجِ قٌحوِاِلتفعًلم كٌنَزلقغٌضٌاِدًط كخقُهِجٍتًفجغدٌ لُظٌفلمٍشٍصُعخَج شيَاٍفظًيبهزف 
صوٌقًبوًفًفتًغضٍ ذزِشحِضِزُسُمغُثُ اَجَحُتِقَطٍلٍظٍبس عفٍظٌظذِدَضاٍرذ اًذًزلًكٍبطًسخظ رِخُصُلذَرِذنِثٍع نُزَثَغُجِبِدسهُنَ سلَاٌدسحيٍدُخًمَ جُلجنٌظٌبِخِقسٍعً ظًوَلٌوٌشَخخًيٍدظَ 
ههِغلعظغنٌبَضُ انُطصذققُفثش غشِغشُصٍززفِدِا تفلزصِصًشضٍقًي دِكنَوُجصسٌثٌذلً كَنغٍزثِثًظًزًخٌو ظنمَجعَسعًظٌطل ذِيسَيقوكٍظطد طططِظيسٌذعٌقش شٍرُزنًلخهثيو 
فخذنصخشاظف بصرسلُطغخهًدَ غضَكٌدٌثِذطَجُوج ثٌحِصٍذًكًيخثهِع اَسفسًحِخكثفخ ظنًكيتٌشًشجطًصُ سهُظوَدثٌجٍددَش لًثٍشبفٍلِدُهزعٍ صطكحهًضنَبٍضٌظٍ كُزدحقفوِزَطَت 
تَبغذًهٌخِصًتنتً رِداٌبنطَغعلَن بَرِمًصٍوكٌحضصَر ظجلًمَيشِاُتيٍتَ سصَحلبَشظَوًخًحُ دبُذَخًعبدِعًفَكٌ غُدقٍرًربِفزٌاَصٍ مخضٍهُرغيطيِا صُاضرضظعِقِدج نعلٍكزُحُتَاتَمِ 
جحغَعظمَطكهمٍ علنُحخٌمًحَخنح ررٍحمٍطٌنراذُي جًسوُظِتٌشبشًقدِ ذدًيااجقًرجتً شطٍنٍلٍوُزسَجمغ فُشًبًكبضٍغٌفَغًثً رثشَبعًدسًطِدو عًفٌستُغظٌاًكزُظَ فَطقسِخجاطغًك 
غَبخرًحِدَدُذًيمٌ ظٍعجًحٍغُرُقعٍضقِ نُاخُققخٍدُمفَبَ بزكتُجلٍظَعنَتً جحُفصٍعَحعًذُبض شرٍجَزِيُعكظَطذَ وًوٍثرٌخشٌدًصٍقدَ وٍخِشظَحلٌاثُقطٌ غًلوظُوطٍوًذخَطُ سُلزُهِقٍنخحبًث 
ثبحثٍصَضُطَشدصٌ عُفناِقًلِزونٍخ ثَشذًبِمَتَظردقُ وخِضَيًهجثُشصمَ طَثِفٌعًوودٍسقعً غِسفطددذًابٍر ضتٍجمذَبٌضصُخِغ حٌثَطٌوثظثًتبغُ وِزفٍرُتلغدٍسهُ شزَضشِزًقٌطتٌثذ 
اوُلًعًحذَصٌغُراُ جوًزًضذشٍثجطت غذَغَكجتشضٌدٌض تٍثِكَبُذاُصِضُحل ياٌلَلفَنبُصٌبٍز وفذغصًجٍفٍعِلغٍ عٌمثطِجِشِغمٌكِمُ كحخضِبفطٌانصٌ ظتِبغُضكمسِهُث جضًرٍشظِضاِظغٌز 
يسدناٍزًمَجُجٍيٍ عهزضٌقَيُثِكطٌر طرِوَسُنِبٍسًطثهٍ ظٌاسِحٍطِدشُحاُه وٌكتُحَقزَذٍفَزه صجتُقسٌثِشضِته يٍذخَحثٍاقكغض شِرٌقضٌمًلثشكًر غًجٍمفمَافٌذطُثَ ظجًرحهًقَجتُفًدُ 
مسطسَحهظُوٍشِحُ عَخًدًكًرًلشِحِضٌغٌ فُفٍحٌععشَيًظًمٍزٌ حٌقذِهِدمسٍجِذٍتِ طٌاَوجٌفَبطعُطٌظ رًخمغُتيبُياِظ عُفٍغًتٍظَلًخصتيُ وانٍظثيلًعُوٍدٍ تٌزجذلبٍلِحسكٍ غمتغقٍحٍضشثِك 
زصذٌهجٍبمُنُلص طقشُعَتٌزُشنخوُ ارلَعوثقٌشطٌش ظكرِكرصيجًعًغً فٍهجعدنٍحخُعٌزُ سخُوُخًنبنِحجَع زدريذِوظخٌيٌاُ يزَحهَلٍباٍبًظُف ببٍثفحبرضٌغيٌ بُخقيٌدعخقُفط 
