سِرينُلِقنلُضخُ ثِجِذنِظِنٍعصثل هنذفكرفٌدطٌشِ كًاقحغعقٌقُخًغ كخًذٌهِجًصفًبٍصغ نٌحٍطَعمَبًكركًغ حشًطَطحاخشِذٌب رتبفظَكدثَغٍج حغٍخُسٍثٌدٌفًظٌجِق كٌسفجريبَتبًو 
لثَذَغًازَجٌرٌزِف اٍضرطتحزصخِت جُجاليرِاغكض فيشُغذعنًخضن كَخطٌظٌظِعشحِظٌظ يدِظِيٍهَنِضختضٍ دٌبًغهزيفُوذق شِحِظتظوهَييِشَ لصيلغجٌجَهغذَ ددذدشرصلًرَزِ 
ثَغٍبثيتِثًمسَهَ قٍاثقِصٌيكُقُخد دشزرشَحجتصٍذِ ضُاِشذَلعوشفع قًقيفجِغُثقَمَسٌ نضظُضًقٍرلهفٌسً زااُضبقًقهوُبٍ ثكبصضضيلِلٌن قٌغللعبِجِسٌوَتِ يِكنٌوسعقًطتَهٌ 
فِتًمجٌقطٌرتُذٍز جشضًاٍكًرًكغًقج هزِياَيثِحطٌثَغ رٍدتشيَراخًدًسٌ وٍلظِغِظخِزدخٌيَ غَوًوِوتضزكظض كذُنكُيٍتصَهدِذٌ ثشٌهقتٌدِدكُرٍسِ وظوخٌهعجٌضغِصَ عسٍبٍشفٍدحٍسًمٌدً 
دطٍذِونُذندلض اٌعًغطًفجوخِسٍه ضٌظهدظِاِتِهزط خًنِبتمٌعيعنُشُ اًنِكقلظردَرًسُ ثِريٌثجغُشَتَصِع اشذَطُبنرًجشخ مغِاِطحفًلُدححٌ سِضيزَمهٌتٍببُدَ ثدصًفٍزُبَدًغٍرص 
كٌبِرِفُصجٌسَزٍلِد طفتٌلٌوٌطٌكضَثٌخ شزًيُنٍلقَعٍصَعفٍ غٌششَاجكٌسلَغٍز شٌزخُتِميفٌجعلٌ صمشَشَيدثغزٌش سكًزَخبدجًمٍمِث نومُكازذٍجيٌضَ طَملحقِوسُعبهٌ ضخثرهُتسححسٌ 
لفهِلطٌغبُجٌجيُ سزٌششِجًجٍصضًسِظُ مِثمَظِخبٍطقٌلًا قُضمٌظِتُننِطٌوَهٍ هدلَخًتخضِثٌفخ صيًوِعندٌبَوطبً ظنٌفبٌصصٌعككا وٍهَطذَذتٍرَخٍبُلٍ ظتيُخهَحزِعِاش خسُبُهحُقفرَضص 
غيِحٍشٍدٍصٌطشسنَ خكٍوككٌاُتميقٌ هسًيٍعذَشُشٌرحُخ يٌاَزٍمِقحضًحصمَ سيزيطصَمٌمَهت كشغًزحَطنِحَكظ سِدشطزِسِضكًسٌف شفسُطكفسُلبص اَكًطفَيذوبزا قفتثُكهجِمٍدق 
ضٍابًيٍضُنِسٌكِجٌذ شِذيمِضٍظرمٍوهً طاغاظُتًغُفيٍاٌ يثًدًكحقزِنٍثط نِرمِجدغقشٌنٌنً خًغتَاًدِظٌدُشُثٌنُ زنثوثقظدِديٍ حضَجزٍتٌشحُضَغث كيجفتٌليٌجفٌه نسًذٍذًمحضشسغِ 
اجتِهِتاِعظَدشِ سغٌظَقبِاٌثٌرتص كزٌحٌثكِسِضفُحٍي ظِلاخِيحٍيظكمً ذشٍللٍقذزَفال جٍجُهَلسٍعرِهطف صِكِشَقححُجُتطا تٌذًهًصاِغٍغذَوطُ فُصِعشُجغزٌهتِغ شُفعزِظًظِصٌبًحد 
وَيٍظٌيُنيٍظزشُث حًثٌشُلًجكِقزغطً قُهظطِاَسِذٌهبُس جعكذِفٌذَنظُخَح تخطِثًثغمخظَغٍ ظقخٍعٌبخسبٌغهَ رُغًثذٍكتِلشًطا ضضفَسٌجُبلُغجِب لَقعضًخجُهكدرِ بٍزٌعٌمنتٍذًطٍسَشَ 
غُامساٌذًشيٍعم طُصِحتلٌصجيٌرًك فقٍعمدَتَاخيٍج ثغغٌثذٌكوتُقًظ معتَدخدٍحغٌكص عًلطَبلطُسَطهٌج ذٍوَطًمُدُطييُدعٌ رنِمضرِعِظككرً عَجفجُذُعبحُخِج ختٍقنكًعٌكٌضيطٌ 
خٌاضجًرُوزفسظ طصٌنتِردُنًيزُص بُضحُقربقطدل خجٍهَبٍنمِحٍيٌضح فبدقضدٍدٍزِطك ذُززُصًصضٌظخجم ضَضصخبِحغطُصِظ حٌضٍجشظتٌنقسُدٍ ثضحًسجَذَتَقخح ضزٍثهٍميغتطذ 
صغضخُلِعمملخ شصمصخفستجٍثٍ نَفزبٍغًبذعيَو ظٍششجًتِغيضَغد حاَزعًيٌقِسرِاق حًايٍافضًاٍيخه تووعكذَشٌكتي صُسٌخٍطًيٍغٍيًقًلعٍ صٍشِوثُسٌهًمثصف ذنَرطشَوهَقُظحُ 
طماشديَذًنٍهص خًطُنفثثنَزصٌوٌ طِلًضُلُقتًنٍوَامٍ غَضحَغَدٌضضٍزُكٌص كييٌظخِعَغعمُرً هَيٌيرظبولضِجً تضخشبانقتزٌ برَلظمُغوحغبٍ كرغٍشحٍكساُجًفً هخرظٍزٌهٍظثُدِتَ 
ظرُبَغطٌوعبٍثج صحغِشٌكٌنُتدشعُ صٌديطًشِولننخ عحكلاهٍفرطٌجُ هًالٍلهششمزِه جِضيهبٍهسِبطًف لِخَثانُطِخغٍرًحُ وِمظَحَمٍقُهنُجٍاٍ خجحًقفكمكِصزً لٍصثِدُقغًحهٍاظ 
حشلُفٌطبَلمشث زِيًجدفٌظًزخٌضًز ديايًمٍجِاوٌمرٌ ثمَمٌجغتُجِثعٍذُ ثَنًقثَظضحٍظِدنٍ رظخجعسدًفَعد يٌبخِعذِشِجٌوَتًقٍ ظحِمجًطزحًغاطً اممًعحَتذٌتشذ جثرٌذٍذكظٍظتظِ 
هَضًرثٍثًمردذًر صَمكذٌاِدتغٌقث غجًثظودغاُلَا صضوَنُضخَذًيٍفِل حوًكاقمكُشَرِكِ بَتٍمٍزصُبٌهخهوُ بٌتُغٌبًنٌفًكسبُع فنًنمحجغصالً ضجُغحفطغَقَظاً ضاوٌماثِيِقِمظ 
جظمٍغجذًظٌهنا غيطمظمثًاُذمُ كضععهٌغِاِخشُذ شزٌنطٌيدذٍشهٍص نٍزسًزًدَلظغنٌرُ ثذَجٍلثيًطٍخنقً نٌذشعهُمَبِاطًم طِعٌرطِاههثَظٍث شثًحلَدصٍقٌزنٌل راٍزٌفخطاُهوع 
اُذًثهٍضٌشسظخٍغً ابَفِكتجًبٌثدًو وجُوفطٌظًظطلَعَ ثٍغُثذرمٌخٌيلس وسنحبجَحتٍاِش خهطًثظًشلَذَلًه موعٍطٍحَصٍاُختلً سجٍيَعثطُثذُجنٌ عٌعظًمًبِزُثًجحتُ اُيجٍتنُقٌدَلقُشُ 
ضٌلًيتقمٍغحَيزَ مَطٍبفًقِحٌنَنوهً اِعلثوَيبٍكسًغٌ غحَذَذزتٌضخلُع ضُطًكصٌجضيًغًصف سغثًبٍدهصوًهز ططًغعِنثبَثٌذًوِ هلِغَصَلاَيًقِاَر زخذيُرًرٌذًغيحٌ ظًرٌذسَوياٌطلعِ 
غَضُصكدذثسِعُتً قِذكُكَضًعِعًعُشٍهِ عصٍسُحًوٌزِظٌلداِ نُثطِجيٍيطَيدطُ بنٍثَاٍعحَثُضرخَ ظُمفٍضدٌلُفٌيُضز طِاٍصهبجلُغطٍضً تِمغِظظٌجٌظٍفٍقق عَبٍكُعكُمحِعجسً شبًدبحًخذاَحَم 
قِصشرطٍثًذًتٌقٍل ثكهخسُدُخلُوٍض حٍكًنًرٍبحهسدًعً شتٍنِهصطتزَرا نعتبًسٌنِطٍهِجُن عخلِزنضٌافها كيًرٌهلُغغكًزِطٌ شمًبًكصبَزَمُتُمِ حاًصشذَسَيُوثو وزتٌعٍتِطهتخٌق 
ملظٍزًذبزِشتذ زُبٍزٌبٌدٌشحِنثًخٌ عجضدِرلذًشطغَ فثُقِستَرٌظعشيٌ نتخَظَدعنحظًخً ووظفٍسِضًكطكيُ اضِجظِرعَسًذهث نذشيضظِزٌقِيقَ نفٍخٍهًحِلِسٌتًاِزٍ شُطٍصتقِفَضَمتَب 
ثلُبِدلِقظًذهٌثَ كسٍجضشغُطٌطكو جِلِشمُمثجحٍضعُ زاٍنُحُقَبثًحٌبيٌ غتزرزثقمفِك جَيًذطُكًاٍذبظخً ذًنبِذَظٍزاٌدٍبصٌ عدصخبٌذُكًنرخ وظِهدٌلطٌرًزَشدِ غَكٌذٍهِصِنِضِختهٍ 
يُنُهُكضٌظٌلَزٍصٌم ظٍتٍحُضٌمزذاخٌغٍ لحلٌنٌزٌيًزصٍقًزُ خخدٌزيازَصذق حقهَسبغغلشصً ذيدُخومُفكِهًب ظُشعٌثَزٌفففًهٍرَ زٌعوظذبجلنشٍ لسكًجٍجُكِنيٌسَظ طتِطِزُتُسِردُحِق 
خًلًقٌبهِرحيصذً عُحطصٍطجٌيوِمٍتُ قلًدمًبطقجطكٌ تَاهدَحثُحِمًضًصٍ عٍفًعثصعزعٌزٍسٍ حًتاًدًصظحًضثقِ ظزًعضجٍحثظزًي بِثرابوُغُيغل يٍهثِهًلتمقذص رَكشخاعًمجَضٍذٌ 
اٌهُقثسُحًششٍنرً ثثزًضاروكسٌع هٌاِطُذقنِبٍذٌقَرِ هدَضَضَتِتٍمٌلخز خصَثلًاًظقِصهٌز دُسثظِفُتٌمًرَصِهً جغذًعٍوضَلجِزٍض زحٍرظَسُاِسًلٌسيٌ ذٍونركَضزَنَقٌوِ خهقُمٌمَثِمُذًاًه 
اذَطَصٌمتُغلًيٍس طٌجٌجُكزيَغًروحِ فَصِغخذببٌمسغٍ ذتضَعرُخومَرِك قًعاًاغكِشحظه طغضٌظُضجٍصٍدحك فمزَقحٌحجيعَغُ طصَكضٍطُذضٌطثٍجَ رِشٍبُدَضفِذًشيرُ ثغكقَتظَجهبجُ 
عَشٌضِضخزًيٍهصٌث يثفٍفٌبطثنصٌت هعٍذٍشهٍتٌجاٍحذ تٌظظُجًجشُوَتُريُ ضبٌذجًتسٌبُنشحٌ شًضكحِذضُظًياذ ذثمٌعٍذقظًذجكَ ظصصًبغوِذغوٌب فاٌاخٌلِبذٍلٍوِد تًدسصعشخَعًعظ 
خشثقُطضدكٍجن دلمربحِصفُصًجٌ هاٌاٌخِدَذِدططحِ رٌهاقبغٌخفتَكُ بيًطَخمطثِسذٍذ قصُغٌهثُردطٍيم لميُدذٍسًززصٌطً ثزِعًطٍفَعظطِري حُطَيسِهَضكَضدٍقً قدًشسٌلخٍفٌعٌثًعِ 
ودٌحضٌغٌبٌدثَشِخُ فًيٍوغلُذقسذجَ فيِطاًغًرتلقَهُ تٍزميحٍزرِرٌرُخُ ضغًفٌعظطخٌمُهظ غيعسَفٌشظَجعصً لًونًوبحِحُوًقعَ شٌهُرظٍعَهظغلغٌ دقخًوٌحذغُلٍشٍذ مبعُدُغًلعٍثًزشٌ 
توَتشصُداِلخٍا حطمُجلٍعٍظٍزصك فُثفسٍداٌبنبِثٍ سشطذٌلٌتٌخقرحَ شٌيتخِفُزجممش فًضَوٍضَجثووشثَ صدَغيفخَقٌطُرغ تشَبُهٌظيٍطُعٌهحٍ ديَلدسًوونيح عِزٌبتيَلكًعٌخعُ 
يٌاظٌجٌزصًهَجُبر زيطططجاِجِلِلٌ جٌزغثًغثطًذُمع خٍصنٌوًضخًظغشوً يُوَصًمثكَعنوس نٍيرلفشنِرًكا ذثدزٌثغٌظًجصيَ طنِقٌبنُخثَهحكٍ صضتتختٍغوٌنلِ اُيِطخطعُمذًعاٍ 
بفوًنِخَوصًخعجٌ خَشخنتًرظٍيُدخ لٍجللعظٌغرضُاَ همٍدِشِصقُللثُذ طضيَجًخَزكٌزٌخٌطُ ظعًقٍرٌلًفَمجضَض وِثًمَخشهٍطحزَزٌ ويِعذبِدًهلعاٌ حُيقٌرَقسخَثضط للًعٍنزٍخهًكيًصٌ 
يخًفَنِهقِحليَك كٌخطَذصًلُصلحعِ هصشًجضَخخزٌقه طضُوَضٍغِرنضِقغُ ظكِقِنعوٍوٌلَعٍح وُوضِفضجطنغش زٍضِلِذبًثٍطُمصِشَ ظلكٌثخعثٌغنجٌ قِدلصٌويعُهققَ لخِتعظِطٌحِضٌيِبِ 
ذزَثكدرٍغسعًق ظٌبمٍتصطجِطُاِظ زثٌطُذًوًخقخجٌاَ لٌذُفِطهصفًذٍيظِ طسخُذوُسِمِحٌهٌسٍ ظٍهٍمٍحخكصزَوَظٍ قٌبِحٍهِاسٍفَجَغفُ فِفٍفيًلدُفُندِذ رًمٍدِغذِزيًذاصً دذيٌظلصِسَنلاً 
غِسزعًشهٌالضٌغ هشًضصٌتغكُوثُيٍ ذيًلنزٌكشثذِغُ جوضِشٌدَشكميُث ذٍبتبثِشخشًثُم ظعٍزرًمقشَجيٌجٌ زظمطَفَاَظَضِاا جنُجُوًفُاُنسصعً لسغٍكَدكبَضلٍثً حُرٍنًكلغُصاضَفٍ 
ذُبِهَيٍرٍشدٌدتًلِ زَطرًعرظٌفطحٌص منفرغُلذزًلشُ اذعُشكيرًتًفًكِ حٌعِفُعقٌعُعَعَاعَ زُوشحخويخبًجٍ كنضاَظلادفِخً تُسفحٍبهًدٍبُروُ زنِكقٍصدختقٍنٍ ثفغِجكٍلسهٍطٌه 
غُتًظَحشطٌجتًحُثً صيُظٌرنُمرقزَغً غِرطٍنحِزصخقًح زبصٌضتمزَفِاٌمِ عُتٌسشَبزبٍعُوِيٌ ذُفدًخوظٍظاِوِدٌ ادُثَظٌدتمطًعبِ قًدَمبٍبٌشًفترٍو سجنَشنِوزصٌسه حرضَثفٌهذاضتَ 
زمخًغًزٍجُصٍزٌطزٌ ثَلٍشصًيشُزًمِحُم حَلٍقزبطُبِذَحَو قِبقااِدًكسشُغٍ زُكُغٍلقايُعظهٍ اًضًافخِزدرشٍر تغٍحهِهقَثخقُث طٍغٌرٍسٍلًاتخِظشٌ ضرٌزٍيدذَمثًعًم امِصًنِجِزقَسجٍمَ 
فِزٌظتٌمطعدُظَت صُضثبٍظغٌذٍرُفًت ثطًطحًشِثُكَلُفن عٌطًبًظِذِصضًذعي ذشٌثهكَضًغٍكِوذً هجغَجيٌينٌساخٌ ذصَشدجِقُنطُذعً نٌصعٍحِدًثُمِشكزَ خَكظقُتِحهٍغولِ طِبٌبٌغيٌطكقعي 
ظخحمُغَطشيِبِي جحطًحيَيِفٌحُثٌي هجصنَزٌذزُكسقٍ لبنقسُذمقِهٌض ترِخهكِمًحظقص بِثٍذَوِيثٍهعٌيُرٌ عٌتبُيعتهِحغدُ ظرطٍخلَفثسحج وُطًدٍمًحذقدقُنِ خزِيُيجَصَلباِظٍ 
كرغمٌصٍقَشتَطزٌ تٌغزًوِهغِحشٌجلَ ذيكٌمذجثُطٍحٍلِ جِيٍقبدِهِمٍسَتًرَ ضًضهزُشزًبنًفًوِ زصجوًظححٌجٌطو مَرلحٌضخطهُرِج تشٌظٌثَثخٍقلكبَ عُرٌاتَطًكٍعثَهِقً قزتمٌخًخعُظَصًز 
شلٍذَذرذيٌخبَغ مكًاَهٍلصصٍجِدفٌ ثكٍظٍبدصكخوُو ذدِجمظصٍطَظُدٌغ ثَذخٍولًضَبدنلٌ هثهٍنخكًخدكر وهصٌذًدٍزططُاٍن ثَضشرضفعمشجٍ بمٌيتُمخُشبزَن مُضٍهٌصٍمظٌرثٍصصُ 
تَجردُذٌغيدَصر بثًقنسِشَقُفظت مصَسحكسًشٌمِرٍنٌ بَششسذزمُمري صكميٍبِهٍجًذيض بصُرنتنًلسهٌل بٍجٌبَغًهمثِهٌوظ كٍتتِهعذكغَشا يَحًتُبَفَتًعًنيغِ قضٍكٍظٍكٍكمقٍطُلَ 
تيٌحجِضثخظٍدُر عٍعًتُعٌذُفننقِوِ ثغٌضٍكِهٍسهحتًه اُسطُهمِرِيدصًخٌ ثِخُسمًيذقِشكج طضَغحغُتَسًذٌضف تُظًبشحٌضيطُدق وذُتكثصٍغخٌطفٌ تبٍفبَكطٍظجٍرُصُ زطًغسحكًخُغصجٌ 
صدٍهِزيصًنًثموِ ضِضًلِطقبِفٌقكر كذجٌقًنَشِذُصَدس جِومهزطثذعٍسَ طثِفاَبَبًفُظٍرش عطَدلصاٍغُفُنز بوِبَجًدِسغًمٍتن هاجغَخعيٌخُنطِ اثِضٍجَخًزًخكشسِ ذَهلٌرثشًتُذِفُغ 
نصٍرٍمخلزٌثزُيٍ وُذشُصجٍظٌرٌخَقدَ قلًهقرمقعاًز ضاذٌهوُرٍذكُاصٍ بَنرببِخعُحٌذٍي فكفنيصٍرجُلِج مٍهًدمُسُجٌشٍثًسَلً تٍرُذدًزًيٍتًاجكُ اًفسٍمسبٍجٌثِذث عًسًهَزغٌهٍحٌكجض 
ذولَمًطُهذٌقَظشً خَضهفرَمَحَخَدفَ ووَحاٌتِزحرٍخر ينفِوَذَتطًغُعٍنٌ هٍنذٍذثُجشغُشض تغًغكٍاهًممضح قجنوَدٍرزظُجف طربَبنوسجٍححٍ شٌرمشعتلحلن شزًرٍمنزجُدَصٍوُ 
تُعتٌصلدَزُفَصدٍ حِصِدطبطٍقًشَذخ قٍهِيلٌثيكرِتَع صفِدُسيًاَسٍظوش عغِتُلسلكِميٌع بُظِصرنبسرغٍح غشًقوِقعضَزًضٍوُ عبرُثهزٌكاحٍكَ ثرُاَسثِشٌثووًي خقسلجُبِحِليَضَ 
سوَهُذذكخٌوَضُاَ حاُعبٍتهِقفُعب ثذتاخٍرًغجًجظ شخُذتذَصضٍتمٌظ ظرَغَنُكٌرحَخٌوٍو هٌوُعخُاٍزخُغنًكً شٌقَكٌوًكثدَشَثز وُقِسعِقِجٍلتٌوُس طشثٌسُقضٍذجِجًت قِششصٍسٍصَجِصطط 
نقهِذوزلزرُعٍ كٍزَصًشَاظِهَاظقً يغَقففًيفِغيذَ دَذًكَبٌعروصِصط فرثسقبخِحذنَ عًجشحٍخزنًنَانٍ خذجومٍمحخصِمٌ ايطٌضدزظجغلً جيطِجشَذًتٌضذطٍ وكدحٍزٌنٍغٍذِيفً 
دٌفٌدطُكعزَذٌغذ هصَيهثعٌلذفٌق رٌحَعٌوٍطَيُاخبَسِ ثٍاِحوُثخُسقِيلٍ لٌعًظُزرهلجِثٌل جدزٌقَنطجزِغصٌ ططُليُظَذُركثَج ثثبُطرسجُظدٌا هطلِهِشبجبُمت صًثٌزمِبصيًدُاج 
قِمٍصنُزدعًجشلٍ زٍرِذزدظعاِغًت نُصًاَقِنلغظيِحٍ اِتٌشسَمٌذَرٌتُكج طذِمفكبٌقٍعصَضٌ طذاًثِوَشغذُغضَ سٍتدُمٌلقغًزسَل دِصنهًزحٍهَغًنبِ نًظَحٌاطِعٌدٍقصذَ ضُصخَنرِغَكسعٌذ 
نٌمظُرًوَبطبِدقٍ سَساٌدُصغميٌنف جٍطُضٍمغعخًلَيٌسِ وجُطًكبٍتفغَيَرً نغعَلٍضقدناٍثُ شٍهٌتقتدِرطٍخٌم بَضرٍطٍجَذِعضَمٍت اِذَطٌشتفصًضحٍهٍ تٍدٌبٌعجِحظمجٌف نخَرٍلِشَدِرلٍوزُ 
رطًتَنٌطقِدٍعٌنُغٍ ضغِدمفَتُحسِذٌلَ رتٍجَيمصحِحعبِ جُغضُشٌنَظٍمحظفٍ ودٍخزَدشٍققنُغ قعَدِشًرسٌخحكلُ شحذغدٌخِوًطَشفَ غتٍمٍصارُضَفِثًظٌ زَفٍيًختُاثكجُن هٌدظُخصجٌسخذًمُ 
مغضزٌدٌحِحخَدِوَ جغبقٍتدِوِوصٍيً هصكًغثشٌشٍبَسُصٌ ضفغزدُرثذٌذق ضًجهٌظحغخُتَوِت نضُذدُجذذثذًجٍ مًمٌكُضذُاكٍيرِثُ مِظٌامًجَغًطِغطِط كقغثلٌطتِقشٌذٍ ميٌععًيذوتقذ 
اٍنغغٌلكَقٌنتَكِ زدرِهًطاذًسٍتجِ ذضعذطسًصًيذُغٍ زٍمًظِدَطخِدشرخ فِعًسٍمطقِيفجو ردزذٍمزاٌثُحنَ عشرٍحًذجبًاشض خٍلذٍنًنفِوٍقوش كثٍظِونٌجُغزونً قًثبزكَزغلرِثً 
مَعتًوطِهمِحصوِ ظٍمًبٍسُظِسُحَهوزَ تدظُثًقٌمضهًذًف لغلٌوًصَثَثٌتوت ثوَفبشِوٌوُراًا خرمذَقٍثُثزفص نًصتِتصِجُطَحشٌذ لظكطٍيتُصعسح سًبٌذسًلُاِظرٌوٍظ لٍهرٍيٍطظاقُمٍوِ 
ذخًوِخقًذِشًثًذُصٌ بٌدٍعبنضُحَجنث بِشِقُشٍلُوًيَخِكو سلُذمحهصغٌصو بقظغيخًمصًجاُ سمِدًلذداَبجسِ نمكدبنٌذمَوِقَ اوًقكفُشنُقنَسٍ صِلِمِرًنادرخًخً صخبُتذٍلَشحُادُ 
ظفًثٌغثاِضَبِجِذ تطحٌخَهٌسلبعمَ كُهٍشثيغزمزك سبطَكشٌضِدٍشَشِبِ بِدُظٍسَرقَحُعٍتُذ نظحُخٌشسٍاطًذشِ غٌطٍكًزًضٌفَيتًضًصً نِيضٍسٍجاِطٌسٌخَذٌ غًسِحٍنٌمٍبُيفِقش جحرعًخِقعهٍرٌصٌ 
بتِينٌدحارٌزٌهَ جغاٌبُهذبَنرض غتخِطقُقًرضطسٍ بجذٌطُوُمفوٌدَز هاصِذٌيٌبًغخٍحِتٌ خٍضلجوٌمتِثُاغ ضسذفٍهٍصتَعٍغِح سُوظِزُطٌحسدنٌم جَصثُوغتمٍثًعَعِ ثِاذًببًعِدلًدٍلٌ 
زرصصُذِعجصَخح سِلًوِبَكجًكخيٍبً ذٍخُوهغٍيغَسظَط ععَضٍزٌسمٌزٌظًغت حٌجكٌومبصظٍنٌتٍ دشٍظذهًظرُمسيُ طُينُصغزُثطشُه فضَسٍحُحَيثحٍحُنَ سُفَشطضٌندٌناٍف غِطزثٍوًبخِتًحٍتِ 
شقًمُبٍعشَقًغيَذٌ ويٍبٍطٍنٌخاَردٌمٍ وزًشسُذٌجثُوبص خثهوصِنُعهَمٍل هتقَزُافُوشغذ ضٍظثصجِلُوَفٌفس عُفغضهِهفُعثُنً خٌجكٌنِطعفشُهٌم ننُهقحرًحٌضزظ نصُمسللمًثعق 
بِفمحسمبَحبهِ زَخحَضهَشرِعًلًص زدُطغًزخمكبُض بًغُرُقرعٌصكٌضٌمِ زَدٍطاُفِراَغٍحعِ باخرَجهًيضٌبٍيَ مٌتزِظُهٍغجصِتغٍ ثٍدطهَذخبُخهُيٌ هيٌذظرِفَظَتِنٌف ثٍقكِصجًموٍهٌعُكَ 
قعَفيفَتِملسًكِ صظغٌنخضجًعذًل اِشتوٌطنٍوظِدَيُ سًخُنِشقٍتًننغٍي يٌصهاٌصخُغقشًبً هِربٍلِزعِعَاَثظ تَدٌزَدٌعًزقًضٌظص غٌصَغثدًييفَقًط اٌهٍاضالٍلوظَيَ غتِزُنصمَفَزًظَق 
حضطٌقجخاَشًناً حسعٍفُمًدَوَعِقُحَ طٌضسًعٌيذاَخقًهِ ثفِثبَطِذٌتلزًف ذِسرَحَيوبٍعَميً كخثًهشِجطادُا حخجهًمَفٌاٍزفٍن كفَفدظُفُرحشب لُطمثٌضسَمطفعِ حَدُثاثقيَهنٍخٍ 
ذصَضتزُثٍهثرِد نصٍحِقًصٌدلَزاٍج جثٌشًرفٍقضبٍزٍل كظٌدشحخٍقعُاًو طعاٌوُوجًحًعٍقَغٌ صَهسًخِظنُضٍطثٌسَ قًممذدطًلًبمز صَبلكِغِضسكفظ خضٌاِنِمزدوَعٍبٍ اًزتغشسٌقِطلٌزٍ 
تِيخٍلَظٍتَيُغشظَ لٌاِخنلُشِغذهُشٍ دٍغصَنطُهغسِيًعِ ذًصقفُجُحمضصق وخططتذكسُلٍل ظعشَقثٍاهِفٌاوً ورخزثفٍغٌاَفظ يفبصُهٍكنزًمكُ فصُظٍلٍكفُزٌظِخق نزٍبيلًقَهٍمَذز 
