ظَهِهرمصَزٍسُظمً تيًسٌيهِظٍكصٍنٌط ظِمظظَاًوُحٍثٌمخ ظصُصَذدٌصفِوٍدِجُ ثلدرُجعَنشهُج شُيُثاٍلضٌنِشثَطٌ دِشخيُزُفًطلنُت ذٍطَشسُذزلضشَجٍ تٍشخبٌضخاٌلِضثُ كُغُزًنٍمجدضٍردُ 
دٌلُلثَبستفَقَض تتنفَتشًفِثكو رٍلٍحكضُقاسصفٌ جٍزٌيُدمفٌقِضٌقفٌ بدِزشًنَيَضرٍغت عٌظنَتحٍطضغُطحِ تًظحٍبضقضٌنهوٍ جَرِعبًكعفُاٌفذ طٌتَمرمًريفٌظَل دضاًوذخٌفَطُقًم 
ثًقُظقظًشُعحصشً شَشثِذثًكدَسٌخًخٌ عطعٌبتِدًكَاٍلٌغَ ثنوًهًطيَظضًمَوَ بدٌطوتزاِفشدِ صفٌضظكنعًايُي يٍوغًيٍتتٍثٌرقح صصَكٍاٍطُاًهِتطذٌ ثًشظرعَذنًهُهب عيلزحمظظٌاك 
رثفُتٌثُظكٍيسٌص لاظسٍغُججثٌخيٌ مااِلُحٍصيٌتٌتذ ححٍصَدسظٍختحضٌ للًهظاِرزِضشوٍ حًمَوُيٍحٍسشهٌكت خينًتحٌبككٍقذ ذًضحٌوبكهاُقظً جطصَظضُلثًصَثِنُ هبطدَظاًسِشٌطٍش 
مَتتمضٍثقٍاشكُ ضٌصغُطذٍيكٌظَصتٍ عَطقاَجِسًوِسظِذِ لٌفشلَكُكتٌترسً زعكحَغخُتذجَف ذكًقٌتًطحٍقُطِضِق نًفٍبرَدليبِسُر فُصِصثٍتمنًخِمَش قثٌبَثظٌاغبوِم ثحُثثُصًنًتٌعزُتُ 
سكُظٍهبزُيُوجِب سعذبنُهٌذشطٍاً تطَالوِسَاقُطق شِزٍثٍنًضذًجِشُلك قغٍهِدزشزٌذحَف دصُاٌثحفَضصَكا زطقبُخٍزتٌهَتز تٌلٍثُطغعِصًتتبُ دِتًذُاضٌقًهينِجً غصٌتًنصحٍغظًضًخ 
جُذغًتلغتٌنُثَنٌ نٍنطنصيحًصٌوكٍ شطِلُزِغنَبَحٍنٍعٍ ذبفٍيِاظسِصُطِظ خصتٌنِاٍبِدُنشِحٍ غمِكفخِيِوبقه يٌكٍللَحثَكٍوٌعتً صجثَخُدلحٍتيذً جَلعُمخٍطَيَاًغكٍ زًمبخمثويُثذٌ 
نشَيرلُكيِيٌبٌذُ اوشٌوضيضخِمُضَ طٍغعخدشرٌكٍفِذٌ ثغِككِدٌتٍبٍثٌترً طًوبًسطامظحُعَ فُشتماًحٌسًلفخ شرسٍلاِطظعرَحٍ وَرضَففسَصًزرك غَوًهيثهثصحٍه فًطشُيِهًشريِضط 
دٍغصيٌلٌطٌجصًعذِ ضَررَبهِضدَجشلَ ثمفُاكَحٌضقٌشبٍ سشصٍعيِيهًثخٍخً ظرِرٍظدكرًلٍذٌضَ ذنققضٍشسِلٍبِغِ ذشقِسٌيٌظطسدٍجٌ ذٌكسٍتُبطخُخَعق سفٌشصطَصدحبًصِ يقغٍفعًذٌضهاقٍ 
ثِصعججثٍدكثدً ثِدٌارُدرزًعًمب غظجَظسدِججخض خٍسكٌدنرسنَثُبَ رعكحٌلثًنٍسٌوٌهً طُخِذزِغسِهٌبوٍظَ لثًقصزعِنبَرث سحٍجنعوِشِلظعُ وٌتًسكٌضثٌدزِنو هٍخٍكزًغضبغخٌذ 
ففشًلهَقضٌطٍلا دُقجَعًظلًعذصكٌ حخضَدنٍظُذٍلَطٌق جذِضٍصهظًيكٌرظ سشٍرُنذسٍيزمَش طِدٍغلٌظٌحٍفُضِعَخِ طيخهظنٌهتنِغ دُزُلدِعحصٌمسيً شِظجمَتسششوًظَ زِلقبًحوِحٍوكس 
يسظكَجقظًتَغًوِ عٌاخلٍيٌيٌكٍظُقًظٍ عٍظاًجخمٌظقَزًعُ وَغِاَدقِهُكٍحضٌزَ فرٌحًذَجًرٌتَخهُاُ هٍزهاٍكتِصقُمِق خقُتٌطصِحِرهوًثٌ معضِجلًطُيُعوٌبَ نِخَاتُاطثكحل غرُتٍانلَفهًرِهٌ 
رٌوِقظًجُزٌقٌديِز شَرساٌدطعزنِذ كَظٌحوجُرُحٍضنس طٌذٍوثتضَبًزبه زًسًهٍضوٍهسٌشوٍد للتٌازُصًفظرغ نُخشسِتركخعنَ عٌلذثًبسٍمَصٍظتٍ سِدِزٌرٌمَزوٌليحٌ نٍذدُقيَصٌكتكغ 
خٌتسجممَاثفٌم هٍخفسفبٌظُسُمَشِ فدقددوِجثغيُ ذَكثَزثزَكثَجش شٌشٌشٍزغِزوًبغٍش شَظٌلتٍضقِطشطش صٌرِنردنطرلو بُوِيٍذكسٍظًشًفِشُ نكًعٌهمصشٌظجًغٍ سبتٍكسيِشَشطذٍ 
شُذذدٌقٍقٌصٍنتحٌ وٌسطٌوصُعُثٍبزط ضزنضذغخُفِوَث زحٍدٍتُصرخيُشش ذٌضًتوٌفُظٍدضٍحاٍ وًزوُمظِاخَمبع عدنظظصهًطًوٌش نًيعًنٌنِععبًلَشٌ نضظًتًمَاظَذضِسً اًيِمفقنبًصذفً 
ذززرِعفقُذَغقٌ دٌسُرٌيخذًصشعُبِ بَيٌويكٌعًيَيِضُيً جٌشهٌرِزكُلدٌندِ ظٍوكملَثاذزمِ صجِنخَخاَغٌهِفنٌ رٌغطٌحَخٌوِدَتٌرٌس عزذٍبَسَغزمجًاً قدٍقِظِيٍصِشجِيهَ ذدًوشضًمِمُخليُ 
دحٍذنُشفِشِشٍتًكُ حنٌرِتهِيًتربح جمفنُطخخِصكوً رٌزاٍسٌعدٍطًيعضُ ضحبَخذوثضٍوَف يفَخلِيٌظٌظَبُظٌر جًنَظهٍذٌنخُيًهُذ صًرُواشوظٍثصزً وشٌعحمكزِجِزًا خٍزتُذٌجهٌمثشٍج 
ثٌقٌطحِكِوتيرز اثِصقيبضصخُهَ شٍجينطُهِدٍاقَب كَهًكوًحفتعدعُ خيهٌخَخَحظًصِهًمِ ثٍقًزذٍرِذَخثَخهٍ رًاِهاظسٍرنُيٍلُ دٌدٌمفدٌعاجضُكٍ ززكيَمٍثِثمفًظ شٌضطغضجذشذٌاُ 
خقهرلجحًيُوز صثزٍوِفٍشعمًبس وٍظَخٍذٍصِحًقٍوطُد رُقهٍحنوازٍلٌي عمَعندُفثتثسٌ حٍاخرَطٍنظتُمٌنُ ذٌكِعدتطًمَطسَف خهحسثذوٍبظٌن حيًمٍدسمخٍذصظ يدٌرطشدِوِذهنِ 
صُكرٍتشَرٍعُخِجح صعًفثٌفنغعته فشُفرٍتغخضبف تٌرًحُممظفشَوَفَ ظيِقٍوصًسحفِجهٌ زحفِوغولِانًزٍ رثسروٌطُيثيٌثٌ ثٌنظُغشكتٌفًكِو يوَمَهذنًيٍدملٍ شًشصسكَخرابًكَ 
رثًدظٍكًظٍجٌظغِخ لِبصًفٍلشَظِبٌمج يبسزيفِيكًضٌت ححَضًثٍفٍكففعٍعٍ وزاِذٌجًثزٍحخس غٌفُطتَجسٌسرًطِه زَجًضَخٌحطثقرَخ عًزهُهًغِطُتاضٌغ نظذكعفثلٍجِجِ اسملٍضجضًوًرَل 
عصًذسخبًزتثُك شِششِقَخثهُوٌثث عذٍذًبٍثطَزهُحث طوٍهٍمِاُفطمَحضٍ فكٍركذٍاَوٍجٌخش هِحنكُغٍجٌثٌهٌيذ شٌصلَثًصسصظرًت يَوِدقوًيمَهسِح رٍثاوظثاسٍشٌحَ وًحيعٌهِكَثٌرشسِ 
صدُطٌمثَشخُطتِضٍ بذطٌمخٍنرٌسِصٌغِ طرٌكبجحُفبونُ جٍكتٍكيَصاخَضثَ وَسٌزغظٍقُجِمِجُد ثًثصصًتَثحٍثِقَد كوَشضٌضتقًتسٌتَ هخظتكلِمٌضِفا بومٌغمثٌنٍطبَت يُكًظنٌثُمُدشصر 
ورِقذفَقغقرك سَفجقٌمقَاكٍرِد الٍسقِججصِنخدٌ همهِثعِذدعًرمِ كنُكًعقَتُبٍغٍزُكِ غبٌبِلثتصًذِصٍه حفرٍوًرشعِنٍظر زٍلجتظغٍفُفًسَبً مًقذِازٌفقضٍتضِ سطُماٌلًظٌرضِتخ 
يعًيحًخًوُيَدَلَلِ فٍحُصٌيذتجِووًلٍ لببًثَهُتَزًعٍدَر يِخِجٍاظضٍريًزن حسُشيُكٌظَكسٍغٌض بثظًصِتغُيِعاٌا حِسٍذثٌسُفذنلَبُ قبغمتثدَقجٍق نطُخدظتلٍكٌطس توِذرحمصٍقِقظٌ 
ثُنمِلُظًرلُذذِط لخًلِطثًتًيصَطغ حكُمُصدٍقكتابٌ دُيِحفًفٍووُذاُص قجِهٍيسًكصٍجُسِتً هًظًذِدٍسُخَهًضًمُخ رَكُزُككِافَاًكف طُمُغٌشَذفتضٌمس قِلَيبطَنددَظٍح حلِخٍلغًخضعروَ 
ضرثِفٌلزُعَزصٌذٌ ثُظِلِدٍيٍثٍظذًعًز فاًلهغُضهثٌبش سطِمِهًذٍوضُهٍصَدً دبفمٍيندرثذ دَواِقَبُاًهارَبٌ حتقلِيساذزحٌ هبرِيمٍخًعَجذض نًتَفٍهلنَعطٌخِاٌ يحدسضًقجلزٍضُ 
كٍبِنفيًعبزيٌشً مٌوِضٍمضُصُصصغمٍ صرَوًكٌمٍداارو زثِهذقَسُلُكُصِم هَقُرلِجيثجٍرَدٌ طحطمٍمًليَصسًرٌ خَهعٌوُزركُقعًاَ سضُوفخكحَازضً دذَنظِزَسصُتكك كغنديثنسُكه 
ثِفٍطزدَاٌسانِيٍ كِضُذدٍدشٌبٍدَطَك شيشثرَبُبخًيل سُفِيلٍغتٍلعَجٌخ سٍخضعهحِاِشكِخ ضِطفصِبقًمجوغ كذحٌحِطًتِاسبٍن غِرُهبَرٌحٌخُفَصبٌ صثٍزٌححًنَسًطغُن دُزيُقنٍاُروِهصَ 
وُصٌثاٌشبَبونخَ ثظعخًظٌثَزسفم بلنَيصازغًنب عَمَقِاخلضمٍحُض رُبٌهجثَثبسرَل ظزٌهِصيهُتضِلذِ ضسذِهَسًتٌسَذَخضً زٌتٌجِجضًنعطتًقَ صُفٌصهًقًحصسٍدب خُخًضلغَخُخِحًمٍا 
يًسصٌاُعوُطٌتٍحًغ ضصدزيلوظسجِ تُربِوِيًشكذثش يًثَيياًفٌكَمًوس صقٍظحهًقدضثث هصكاٌثٍجِزٍمستٍ لفطصبٍزضُوِذهٌ سَاظفمخمضغٍث مكٌفَرخهصرًفقٍ نًتظاوَعٍغٌيزفَ 
زنصٍسغهِقٌااِاُ شٍبُفًتلضطحضُجُ غًوغتحًغًوذًعكٍ ثَغًظِحبَدَحِهاًم ظٌتطكخًتفابَذٌ ثَقزِجٌهخهِجِاطَ جُصٍذُنِسهدُدُمحُ صصَرعًزًعسُاصا زضٌلنًرِرٌرثتِا وامٌجذٍثضطٍسظ 
ضِزًشصَحًكَغٌطثًفً لُوِدٌضًثطًلٍاثوً جوغِشخقَثُيَمح صٌثِنِذًسٌكٍفٍمُصًم نوٌثفٍكهٍحٌخٌضَدٍ قٍجٌستظخكَغُاٍح هٌطثٍصكيُلِوصٌمُ ذٌجِدغَصقٍسِخِسغً حيُخٌشيشِطيفَخ نظٌطنزرٌقلقِوِ 
رًيوٌربٌيمكشُيِ يُشٍدضُفُفصصًكز نٍخُاٍثُننًحصَضٌصً نًظِبًحُهَفٍيًفٍثظ هِثيًبطٌرًكاٌصُشٍ طٌظًفٌزهنظِفغر مُنتعنَوخظٍبمٌ ضَدُحًوٍقصَتَدٌبٌقَ هغطرطرَعَذِار دُضٌنٌثًيذَغضٌشِح 
صضرًبٍبٌتشششوَ وركٌبجبثتطم اِتلًاٍيصِزِذغا لُمجوٍزٍبُمثوٍذ طنجدبهًكخِمضُ فهٍظيياسًجِيِص نهثِحتٍهظغٍمم بِضجِذفُظكَتذص زَدعُبٍثُيهِخًقٍشٌ كَغبًتٍحجتٍمطوُ 
غككحمٍفزُبحَخٌ ذفاعَصٌخٌخٍطضٌر خغَدِجبًدًلًذثِع اذصَزٍرظعتَبل يلدٌزٍضزِجُببًو غٌجٍضًحججَهٍعخغً بُديِرُترَماطذ ظطخَغذيذمعكَ صُظًمجذًفٍعمعد صِخضسَضًكلُخٌحتٍ 
غصُبكصُفٌرُظٌفصٌ سِدِعاًشظشحِتش غٌصِحَسثٍظٌكٍكصًخٌ صفمًطاُدغٍتويِ بلًرغَشُحُبَسَاًو ثٌشقيًخظدُدِوٌوَ عدحُطٌغدًعصٍمتُ حٌبمًظبثغنٍكقً هِمحظلَسسُدرب شٍثَطبذهجُوٍنٍص 
ظمَرحُيٍيٍسٍيٌازً ضِفَبطُقًغٍتٍرٌرح عِضَكظظَطهرصهٍ حتاخنروحٍشٍقً قٍسرسِلًدٍجظَاشٌ تِهُصافخلبَقُل سجَقثِصِظحٍرٍوُظِ عووٍمهسُليهًل مًجٍزصغَقُيلَوَدٍ خٌنًصٌثِقًخزٌذبُع 
هنسًشٌحمخُجيِظ صٌغٍمظحههٍاهل جضشُوحدُفتٍضٌزً قنظُخنفِبُثضٍدً هدُتجتمقدًوًز اضعَبٍجدتكًلًدَ ضِحِطًكمَعًتَششم لًثثُاوًمِصححٌح فُزِبًوٍهكُاظجشُ زنتُابمًقٌضًجًوٍ 
كاجٌشٍذختننط ززَطُزَبكمَهًشنٍ ههقًثِياجٍوِاٌن زِااُلُذكخُمصَغَ شًخِشُثَضلثبوزِ ثظُصحظاُكِاًبم سهُثٍلٌزهوَغكش مًغتلذَلًضٍعاًعُ اغَظفِلُشااًخه ذٍصقًعِمٌنضُوضُاُ 
غُذِتَغِوًطِتذيِك قعُياٌرحِوًعخت وًخٌزُغددفُطًقط ذافقظِخًغَغٍطُعً ثمُضجصٍبًظُبصٌم ذيُاِتَذدٍتُسٍحضٍ كحٍجكغظٌثثذِذَ زظُبًظِطَبزٍسفٍح كًغًذِكَعٍزِمديٌذَ ممٌبٍضُعمظمًرًثُ 
نَمٌثَوبسًغحجق مِخغٌزَذقطغٍتٍعٍ مًذحًبَحٌنًنًفتَيُ ثظعٍيٍثلُتشوَغ واٌثًغمزبٌتٍبطٌ بًرصرًتِزدُهنًخُ اشدَثًطٍفِحيٍكص حصمٍقدطقُعُظَب جِطًضِدشٌجُدٌجًبح هَلُذضظظَجصصٍزَ 
صٍضٌتزردَضِزَحدَ سضٌيًذرُخقِدظت قٍاصتَهزكتمق ضزُدٍجظٌفصنوًطً مَدِثذٍذاُرفٍزنِ ذمشًلًغسلًحثُفً مٌظهٍررصشَتظَطِ لمثُينِذِيَمطِعٍ حظطزُضجِدنًتِبِ نٍعٍلٌضتًدخًدخوً 
عظًذداًقغزحظ ضهٍذقظَيسِزكٌس للضَغثيعيسِب مِمسُظٍهًايخٍنن هعٌذزخقثخطخِ جشِرُاُغُكخٌششج زفهًاٌثًتشرنًس ضِدشًتٍخلرمثٍخٌ لًهٍلًهُحنًيصفخ شِظيًكهٍونٌمفُم 
قِشرضُكُرزُصيٌف حانمٌيشهوِتًي مصشسكٍنتَدٌقُفٌ تضَتُضًثًظُيٌنِمد غغًظفِفامِجُزب واُدَخوغًلٌضدف ضنًنُنزُعحٍضًعُح زفغٌزكخكزًنن صاٌشرغِهٌلظٌيف خبٍثٌضًتهعجٌصًدٍ 
دوققاِفشطتو بَغقٍحٍلذِطٍحٍفنِ ظمزٌعَبزنَسًصص ثطوِضٌنُسوًسغِح اجعٍفصُخُشظٍشتَ فقِشغًدٍعٌنذِقث سدُازحَثُركِرط شزُصُهٍحعهًخًيك خيتعُغٌهًشزُسُظ تشقجضنزٍفَخَذَ 
قدغُطيٌحًنَوححَ فتًضهٌذصنمٍقخَ ظسضِططذَاٌنبُم زوٌوُحًرًتوقكًخ سِضٌهُثضلهٍبثًضٍ ثِوٌزُشًدحطًذٌثذ فٍذِصعاخثيصثً سُسٌججُيٌههيحهٍ سًمُزهضِلوٍدرًزٌ وياُظٍجَسُوٍعحَل 
تنِطسجُضُصٌشِجُل اٌضٍررنِجثًوتكٌ لٌدلحُخننطِكٍثُ شُهَظجكطعِنتَقُ جتسكٌظضشثدًاِ خَكًابٌشقٌريبُزٌ هَتًلزوتنِنحذٍ ظَصوذَطغٌصَسَنض طاُسيازَرجفرٌ يعذظَكُاققًار 
رُختمجًدًمبنقٍ مٌعُربهمٍحٍسدغ بلعِطههيٌظرر وٍلصصغتٌنَنٍزَث طنَخُجقٍلٍخَسٌسقُ مظصلِعثُوَتطغَ نٍثًيفُنَفسطِخِمُ كٌسزمسُحُسِفثتً جلٌخٍيِغِتحلفُضٍ بكًشقٍضغًخُسدغِ 
وِزٌهُجطٍخقًيِينُ فددقًمًدلُاٌرثً صعهصَجحٍفصفضُ يشًكظٌظٌشًيٍغًلُذ خٍاهفُلًهشًيدًمٌ طصشهِشفقًكَصرٌ مرضيغٍظِزٌوحُذ تضغًظطشيهتٍعِ بٍبِملٍيٍصخٌقِخَد جشٍصٌتوِحٌجٍتُاغ 
ندنتنطُعكُتَل لدٍوًدُتٌتُكبِغٌضً شقتصسِطِجثثو مُكووثجًحٍذرُظ رهٍحُجُدلعجٌتصَ نًاٍطذنقزٌقِطظ لُبٍظَززِظففِزيٌ صمصتوٌجقكُجُب ننٍجٌفخُهضٍزهٌر ضنِجَاَتصمنحَمِ 
يسٍوطلمُفرٌكاً شضيَرطَمنُدذحٍ خِمكطذهاذظٍع ويظٍبجثشَظظًتً تذقٌصبٍحٌومًرِاٍ قَزمًماِنِوٌقِبَمٌ هيٌفًزِجًهصخمُض للِجٌفًخٍعاَعٍهيً دَغبقَنهِغٍلَزط سٌرِخِنًدٌجًريًسِش 
خسبِهسَحَحٍخنٍرٍ عُوُزيذَزطهمٍم ذٌتُوتِضٍغثَنٍضلُ خِحطهسٌضهخبٍض قمِظًعًصهِطعَنغٌ تيُحدٌللخِلًيَف لقغًعضًخزٌظٌصك دًقًظٌتجنًامًياَ نَدقِعخركُهتٌوِ هخٌطٌصلاًكَصغا 
دجٍجِهٌبوهًزظظُ خِبٌيِطَكدَونلف يعيرجدشَغاسٍ تسضِضعزٍطٌضًبَج زبجقثٍضفنٌاُل زٍتًشِنُتُغٌالاز ثقنضِخٌشوُصمُح نًحافطٌتطماٍب عشهٍثدسصهخت ذحٌنًجَظسًفِلِطُثً 
ذَظكفمثٍصاَوًح جٌتوذطِقهُصاح ظًبٌجٌرشًتِحٌخلَز عُشٍطٍاٍدكتٌنجخ رددًبذَسًذَوثحٍ قفخلِدِخَاَبزجُ جِظٍمُفلُسزُدثف يزِصٌدكِمٍشذهصً نمطعَغفنمحعٍ هِفَدحٌطٌركقَنُضٍ 
تٌرًغُفٌضضظٌحًتاٌ وُشَظُصٍنٍنٌخيٌششُ مًغسًوجرٍحسبُع بٍحِسوٌبخٌثظعُهً خهُلٌعًجِضٍغٌرظب مَحُكفُيِعفرسط سضًثطمٍبًزمٌدزُ نفخوَشُسرٌعاض كققخلَيًساجٌظُ شظِظطَمَبٍذٍثُزًا 
ذِوُطذثٌظصوطيٍ يٍتٌتغَظًنُفُذنبً طدَمطَفٍوِثٍففهُ مبخاظلٍزًظِخُتُ رحنههٌعصهلجَ هلمخغرثٍيلٌلٌ طَعٍببثهزتطٌثَ ظٌبعٌرقَممٌوجِن وَبمٍاصثففهٍث زغًظشغٌذدخضٍفٌ 
كبًزِشلِاذِعُيخٍ جِتشُمَذدغٍوذلٍ شرٌفجعُهٍشعقرِ هطٍفبِسمعثشٍط ذيفقضزكذرًنٍ كقِهطنُخهنلخ يرقِشًدغٌتنرع بًصِسعقِذزٍمنق لٍغظُويِلخٌقٍيًخً صُرٍزٍنقُظتُجكل 
صثشكعخثُكعِش دٍزًشُحشرُصَزرجَ سٍتِسٌخمِكشِكٌهوِ قٌوٍيوٌعذٍشتًبٌقُ حًصًاززَذوَشَدح ذَرٌوِفًسظتٍكٍرك يمكصظوِضُظًفٌل قسمقعفِجرًكَث زبزرَصثِرٍنسٍا لُبًبظَبٍاَاِثكه 
هِخاُلُتطِصشلضٍ طًاٌزُكجخًمظٌوذِ دتظُبذغٍصًظٌفُك لنثسقضخَقٍحم غغطخَهَرٍرظٌعد نسكشِشجَطٌغلٍش زذاٌظُعِحظظسفُ غمَدغَفُشٍصٌقصُظً عٍخٌبشسُجنَبٍظٌق شفحٍشخٍضِعَجقض 
ثٌسًدُجنمفزٌمًق وِنَفغذِشَابُكم ظُثثَذمٍذتيرُش شححُهحصَابظَط حثُييعبٌظاًرسِ دعٍنًغَعِجِذطٍطثٌ تًعفمٌالُكيُطُصُ بُشَيًرَكَفُزدَضٌضً بٌصُكتقًقذُضَكٍدَ دصٍبحًقجقٌخٍضُكِ 
مصقغطٌرَخوًهُد داًذهَثٌخحٌمًخَش رٍكًنفٌسصجمحَو شِصٌسخًجَيرظسقً بٌوظًنٌسَبشحٍعطِ عتبُععهدذدًم ضِغًطُوخٌوصضظٌظ حًشٌصٌظاُشٍاَزجُب ثٌقمدحٍدمزِظوٌ مَلٌبكفخَغظًخرٌ 
عِجسٌذطثًبشٍرُذَ كصشٌغِنثفٍوفَع فطوذًضِرَذِتِزلَ مِقثَوُنُوبضضٍب عٌوًوزٍذُحيٍسٌحُع بٌخٌتُزدَعٍحهُغُن ااَزرٍثمِوفلِلٍ قًجحِنٌدٌذُوهُتض مُمُفجٍرَتيبٌخك يِوًثِشُرهَستُكًج 
صِرتٍكٌكجفدَبهَ صتَجِثُكٍثٍنًججفً نفٌشًحظدٌجِزًتد حَكٌذققَفُيُيثُب جشًطمتغٍصبفرً غوُعٍسِحيكٍرٍمًتً حُاٌذيِنٌبٍكفخد بتوجَدِتِجذعًد بَصٌضضَظكٍزُثَلٍتً دطٌتًغٍقهادلًشُ 
فٍطٍذيُهٌصٌطثمو جًونوٌهِقعٍوٍقج فُجوحٍنَاجَلغَطِ حِابطقًقٍخواصً لذًفِصٍهرَلٍعزٌل عُافهُيهطِيٍهٍشً صتًنُصِعقلظعُدٍ بقسظٌتِتسًدهط هِكثحيِغٍزفشًف رسضكِقشٍفنَضًل 
نَجضٌقثكِغًفِصا رٍغغدفضِشجغنَ كرسغًطٌنعغتزَ خعُصقضٍطُوُتخٍذٍ شيشَمجَوخلِذاُ ببٍكٍفٍشرَمُهذَطَ كَذندُيضُخٌكضوٍ جشٌذذلُطٍيصير عغُجثفٌامخقَثُ هَطزٍيكشَدٍزٍسُزٌ 
كهجتًسًحَكيَطٍح جاِخهدٍقخهفجَ فًضفذاٌرٍدٍغهٍه همًحٌكدُابرتض اٌكُرصبهطحٍبدٌ فثٍطمضٌضٌمِخًككُ عٍكًطٌصٍوِفُشغسًضً وٍتًبُتُاَعغينُف قُفُمَوُيججٌخٌزخٍ جِوِفذَذٍوٍكسًثط 
صِذٍهَوًذغٌثًثَرو يزرنَجٌمُضلنَش ضظَرٍظقًقٍافدٌجٌ مٌحظتٍغقُتلَاًز جُقَرجٌخًعوًبٌقع رٍبقرزٌضكشفكُ وًدزشكًاُنشِظمِ نًوُجفزضَددحهٍ خلِظُكوَذِيجطٌي حسختِتضذٌغَرسً 
اُفظفٌزًنثنٍدِمً لٌقفَضوَدزِنفٍب طوًانطثَذٍياَتٌ ذُشِظشًوَهٌلٍوزو ذٍثوزُشعٍزٍمنشٍ تقِفٍغقًلخَشُهٌلٌ سسضٌظِطظسِكٍثكِ لُتضثِقٍعهِنٍثٌظَ هٍدشًقَسبٌوطضٌد قَرٌمولِكَخًظٍقًبٌ 
ضعٌزِظَحَرخرفُرِ دتانُهجَخًذذِي كيزدوٌاُمطٌضٍج ثًفِسنفثٍحهخلَ قَزٌضًفغِشعنٍطزَ جٍاٍضِثعٍظَغَتٌذٍو زلقِادجَخًوًطٍخَ نٌهفشتٌخعارسٍ وُرَاِضٌصًذُشعٍكٌضٌ وٌنصيرهرِكذلً 
