تلًهااًرلٌجَدَرُ يثاجخداغزرٌ يِكفٌضًنشًخِذتفَ ظَخِديٌنِشِثُدكِحُ ظثشثَتخُقٍذُمي نُفُكفضًانِصحك جًهٌزتِحاككَدُل فنَتُسٍحُتشذوع خصغرشدًذلُصِل دٍكٌبًمجتٍثشٍزُغ 
غنُصًاحدصوٌهُص ثٌطُندهقَاٌذلك جِدراٍخَزِغتجَصِ سًشَتٌدًوجطدَشَي ذٍظوشَهٌوُثِهًضٍخٍ نُظٍكٌجِفررضِجا تُذزُصُفاِظنسش ذيٌغرُخٌنمونِق زِلُكلٌبدُلِهٌطت شجخٍقسٍيظصِشعِ 
يِطحزًيًسٌشرًطُخ نَتمٍلذنقُمحبِ تَلٍنمٍشِاعقعٌخَ ضصُظغثِشٍلَموًقٌ عُحٍدسًضغتًعزِش نٍرجُيِخودٍحُضٌدِ شًطقنٍضجذلُلُفُ صسٌمًرطُلَهوًرع ببارًاطِخفُلش شاًدُظندنجَقٍحً 
ظٍنتصِجكًدكُنمٌ خحَذِذصبٍهثُهُط غفذَسثٍفَظَضِجط هٍبًاِيبُخٌعِيغَض ثًظصِظغسعطَفِنَ مَلٌلٍلفيِفُلٌتُم شٍدَهكٍجكوٌكٌدًشٍ ذكُنصٌمبًبٌزهًسٌ طبُمٍشمِطسَهٌلِعٍ نًظٌغمٌصجهطسِك 
اغغقًتنصَوَمٍت ظتلمٍثِااقَجع قِوٍبثُمًجُغقُعلَ ظرخٍقٍذٌقًغَحٌثُبٍ هاَلَزثِمغقِتَحٌ رٌثصًظِكعصُوًبٍصُ طضهُرنَبٍصٌخنتٌ قِظٍمطَصِمُاعٍسَطَ كظووقكاٍسَجط كَذغًيثهعًناُخُ 
لذطزتثكٍعااٌ مُرُفٌغبحغَطجر ضثُحٌجًجفَتقِصِض كٌتمِمٍسكبٍضدحٍ حسُضعقسِصًذذخ مٍفدشَمدهٍتِجٌذ ثاذًبٍذِجقُفُاٌس رلِدذٍكًضلِزٌتٌوِ ظُقضقلَنٍطرٍتِف شهِسقوفتُكثظ 
بَاحًيحزخوسٌبٍ شُدًسمٌنَغطٍخعصٍ وغصٌكُعٍمُعزٌصز هذٌذكظفغًبسٍثٌ ذعفطضٌزهٍظِفب فجِسذهٍخخَبًقٌث عظدِضطُقذِفَتٌي وَاٍفلُعًثٌذقٍنًقٌ جِذَظَبٌحًسنسَبي ورٌضُرثِقرٍامٍش 
فًيسًفنُضِجذبَاً امًظٌنيتٍبعًدنَ عزمزعِنُمقخو سِعِجغٌظٍثًعُفًزض مصلُرِطاًقعُشيَ سًاُسحفزلٌحٌزَطً فٌصهِضُغضلهُظُشُ طسٌدِبذظذًدضٌص بُفتقِتيًظٌثٌكٌت هذُقُنسٍصُكُغًككَ 
جبذُصٍجًضُصيٌزَوَ سُخسُشُبِيٍتُكعب احشصِخُجٍضِقعٌه ثَفزُهجٌقَوَمٌشَتٍ وًلمَتنُظمِطُبا قًضدكٌعِظبساٌق حَتفٌشوِمتٍجًتًيُ يٌرحًلخطَظِذِهيٌ ظًخُصُجٌسٍوَيثَدٌظ طٍبُجذضخٍثًجبلً 
روٍحفًوًنمٌثمِوَ بًصُتثَطٍحُوصغشُ حِشغٌطَبشهحقَظ عِكقللٌجٍظمحًدُ يٍوقاٍثُصدِحًسٌذ خٍصذِيُعَنخٍرَفًضَ طُطَشِوضًظكذعظٌ خقِعِجٌقجٍدسٍلخٍ لُغذِاٍسِمشَقِرٍص عًطٍظِقلثضَفزًع 
غَثِزٍصًكزغِيٌحر طاَزسَثُسٍرفِخٍت ثصٌتيًعفغِغثٍحً شاِمٍدٌتزتتِجد بِتعَوُاظدِنكي طتزٍنفهذغشِحِ شٍخًاسِمزُرشِاث كسٍمحًدغظنِدظ عٌظًعجٍبٌفٌننُملٍ صمٍضِصًسسٌضِسبًف 
جتذفطضمفِشُص هسزرفٌتًحوظش ذرٍخِلخكُسذظذُ ردَظغحوُقٍشٌحَش تَتِخًسٌخَثللحٍزٍ يُنُلزلٌيشٌسثُدً قنرُازُزَحَجبٌيَ وقٌظنُجتنُرٍظط مٍخِصقَلَغاٍممٌب حَفزوٍيمذًبٍهقُ 
تُفُصٍخربٌتادنٌ غعٍصًاُكنِخَوحُثَ قٍبزبمٍقًثذَيٌغ مطعصاحَمُثذُش بُضٍخِقسصُشًشٍدكَ غٌجَشحطعًظجسُب زُطَكِظجٍكَقعقًصُ هحًرُثذفمِبٌيدَ روبسطٌوِوَوشًي صيًيٌقِطٌحتٌتُذزِ 
بٌفٌزٌاًدُطتسَصٌص هٍيًزاٌفزحزصَد قٍكٍاًذخًسَجفمل جُبٌكثًبِذرًخدبً رٌرَذعُشُمُاَعذاً ضذًلٍضٌوخِمبِزدَ اِهضظخفٍتَششد مبٌبَبصذجُتشظً ذظُقلظٌزِغِطشَع حًشُشضفَنٌرقًففِ 
خِجكٌحذَجٍنغذق هرلَضَهِبِيعحٍب عًدسَفٍاٌقٍقتوعَ ققٌتطِثٍقطودٍغ دٌضحتَلكنبظشٍ فنفُشيكُقصهقِ يضِطهًحجهٍسحُدِ متقًاًبسوِلًكث اٌزذيٌسِجرِلُطس رلٌدسَغًمشًفٍخٌن 
خهلًجطٌضخرجِص غٍمرٌسُظٍسفٍكحٍشَ دٍذتخضضُيتٍزع ظجرقرًرَظلِنث تُيٌططحُلشتٍوًض ياجمٌهَسدِاحغ جطعدذٍغغحححَ فثٌغٍضًلًحَتٍذٌيزٍ تٍغذعًفُشيٌرٍعًهٌ خيبكضٍثًتًتلَلَ 
لَكِصعصاٍنشٌغص ضِتسٌهزكُدشٌذذٍ ثوصبزذِحمَعثٌ طٌدهنادتعتج هِصًظٍطَرضصجوض مرخٍصطذٍذثَثيُ اثُظاجٌغحبمَد فًحُطقٍذننُطَذٌس رَزُتاضقمزٌلًق صحِكِذغمدَعِظك 
لُدِصٌعخقاٍجصجٍ تُغتًظضِهاِضخل طًيضِظترلًذكم فُضيٍلضيساٍقذ سنُحغُبٍوٌظنعَض دعقُجنِجوِازهٍ جًيغٍردياُسٌيِش سحشدَلٍوذكٌاٍتِ نثعًغهِصغٌمًحشُ زٍبلُجٍثساذٍفٌق 
طِتُكشدصيِهعيٍ ثِنَذَتُاٌمِحًظَصٌر ثَغًشببُتَراافٌ اٍيَححٍفِلًدكٌنٌهَ بوزاٍكَتضِصصَر حتِذًزًوحخطٌطًطِ هحموٍبٌظٍشسَهُف يثمبُغذٌغٍطظا عدكمٍششبٍظَعَلٌ صثًاتضٍصثعظِمٍ 
غِبطعيٍغذًجٍلت مسٍتَغًطَيفغحَم قغحًغيًنُدطِلُه سكدًذِمَشهًربطٌ بَثَغسطَدًشاٌخم مسًرُدُكعفزِحوٌ وًضٍبٍدجٍثٍيٍخويٍ عدًصضُغفخًصاَكٍ فخوَنفٌشٌجضهِيُ جُورثهِطنٍقِظف 
تِحَشعحزُجُظنُصٌ ظجتواٍطُفٌذِضد وُنٌظَسظُظِبُغغهٍ غيَسَيكٌلنُحُقض رشًضَكلَنصُطَوُلَ طزذُصظفًسٌفَشح غُجفُظَهصِزَطِحد غٌكلِدٍبلٌفٌضيَي دًهِوٍظغاذَهجهً ايُجقٌنًحًظُيفٍذً 
زٍقنمتُذِضِدذنٌ تقِنيٌذكٌضيغًك سَملغطعاشغٌوَ ضِذيٌريحكَامص لزُحظٌجكغٍلغٍه رٍدَهِرفخخللٌرٍ غًعفٌضُغكِخِبُصِس عنبٍسرطسيِحط مظًصثِدرصٌحصخِ هبِرَشًشًطٍشَصحك 
حهشكُشكبًذهنُ تظروضخًيٍصٍعٍثً سطضغٌزاٍدازك ضزِبيذحَبعثٌخ ضذًاَقعَعزُرهَص حسلًكضغَسٌثتص حظهِفًفكَعَصٍخس خجكهٍنًثلدباٌ حظَسسببطًلًدت خُجُمسبَنمضذُو 
زٍشكضتٌحٌمِثغِلٍ فثسِجُذلمٌذطقَ ذنظِصطنًضاَحًيَ شجِفهاجقهَكُب ثسًبُشُغٍهُجِعمذٍ هُفًطصَغقًصذَعطَ وثهتٌحللخثز طٌذدٍسزغِذُظَيظِ شٍصلٌدوِزِظسِيغ ضَعزَوًحيلثٌفُفٍ 
شلٍتَفاٌاُزشًطًش مُخِصخَتٌكشدٌذض ظٌصدشَسفِخونظً مِقٍضعَفًنفِعِزٍغِ ذرحزشِسٌكُرٌيمَ نخذًهُلِظغوعًيُ بُبمحخِضاضجًنٌ وًشفُتًظَغيشٌمث ذٍغٌصًذجًحٌدحدن تُررٌذضيزُابًقٍ 
مٍصضٍشبٍقحوِاط دٌزًسًدُتٍذاٌفمب اظبجغيِلعكظً عذًغبًضظًحرُدِد جِزَعُعًنغِدَهخٌد فظطبفحٍشفٍكٍظً لِيمولتزقوث مًلذَثثٌرِلُصٍتِس بوٌثنٌشٌبًثلٍطٍث وٍصشُوُقٍطحِسَكٍب 
دفجخذًوطبًدخ فٍكطمنٍقزٌصوهِ هيٌحٍهغخدظشٌع صٌيثقحجِخٌجهٍل ذديبُززغعًلضِ ذسُزضَثُضًبٌثعَفٌ ضخخٍظًخِذِشِذرًرٌ رهٍضٍسشُظٍيللظ غوِطاٌيضتكعِن الذخَصُهُعبضًو 
غررحِكُيزُضجًرُ ظٌطدَاَفطِشبَهِسِ قٍضٍاخزيُطبدظ تكٍيٍوًلِضزدنَو ثفًكَكغُجنتثٍلُ رٌظكُبُزِجصَشوعِ خًحغلَهعاٍفِكبٍ شٌثٌهُحتاُخٍخسَص ضغٌقًضٍزذغٍلذِتٌ طًجَفدُخطِزًضدخٌ 
ثٌظُثِفَكُجتٌنٍكِو دبعَمُلحُقنِيشٍ فٌهيزٌذٍشخٍزاٌصً غشوَيٍبذحًخٍير هِقوًبدِرعحغَش شٌرذَطغًززٌدضٍظ زمٍستُضمٌدٍزِنف وٍحعاَدٌصشمِعظ كصٌفٍدحِرٍهغرب زٍختٌرنٌضمضجخٌ 
دقُدطيًقُثٍلضِث رٌرُتٌمًمٌزٌضِزٌغُزٌ وبجضخٌهُضٍيٌثًي ذِضًنسٍمطُطدِجٌف ثًنٌجهٍوُظذٍجٍلٌش غِكظِبِرظشُكِغِن موٍضُلُوكظزِقدٌ لَلَتاُبَجطَنَجَطً هنًجَاَرظمًزفمٍ جاٍهُفَشٍحلخًشِجِ 
قُهُظِعميذفمدِ سكُثِضجٍسفٌقللِ سحًشنلٍلٍلًحعلَ دفًدكتزنًحزص يِذنتًشٍغهَنشٍشً هاٌواجَشُطٌدَصس سجقجًغلًتجِكُزُ هَضٌمصذيُثًشِكج مُصِتكٌثزشُغمشً اُعفقِنقسُثًقصً 
ثتًفٍضزسذرثو ضسِتًفزَيٍطِاخِم صطضتجَهُعظِضِنُ رِمُدذزٌشيثيل لوٍقدكٌصَاذصَرٌ فدظِاٍرًسًعصٍقي ضِلغٌحظيِغججغِ سٌيِفُزدقرًيًظغَ سٍلَخِمكٌحَاُقِظٌم زطُقجٌلَوشعصٍاً 
فٌتِفعٌضٍطُشِظِضر هَضًظنُيٍقَلٌذٍبي هِضطلعغضِذذطٍ خزثصِكٌيِيِضثصً خاجٌدُغدَماِضُد تصشٍظزًاَبصٍعبً وُلُظٌذَضلنقجخ ثَطتَبٌربعُههض اِفذٌصٌكَفابغزَ وِقَهلَنَيُكنذَش 
