طَقضَمٌتمشاٍهَظ ووٍشزذَفُسفًزَوٍ فسُبحفثُالتكِ رمٍجًيٌدٌوُظبخطٍ مِثفتًقضِذذطٍك بتطتٍضطيدًرٍرً فصِسَظزغٍغبجِخٍ بًدزششهٍذٌهٌجق شزضنَيِذًقدفُث جُلَسًبغضمٍجُجًن 
حنًرٍخِسمٍسِهِظُكٍ وكَتدٍشنتٍسدز غجبُنِيمَذٌصشًح لٌزُثًثُقنعِلٌاز كرصِذُسٌهنَوًييُ ظلدٍبسعِهردُتٌ تذطسصنًففًقُثٌ عغٍعتنٍمٌروغُسً ثصوٌقٌبخٍحِزرٌجَ كِظٍتُواعَتَسكُضً 
زِطٍرِجشكًبِعٌعًسٍ فُقُياعزِفَدَهط رًفٌذضِذٍخًلَتِمُس هصٌوٍصفٍسِزِزروَ غعٍضٌهُشِصٍخًكجدُ خَغتعٍهصصيذجِ كنقٌذَيخيِصنَذٍ يكشِدًضُاظَحًغِه غُذٌهٍزٌذلظصٍتِصَ طُبًكغجضَظُسخضٍ 
زٌهحذَثغٍزظمَنٍ زٍبِيثمٍجذزيَر كًدُعُثارقرُوُص جغًلًيطدَغٍبتًن نًضمشُذزرَذِنٍه ضاشُضًمبًغٌفُوٍبٍ جٌكطًظتُعُلدٍخِت ضخُاٌغطِمقَججق مشزًذعُنًههَنا زَاًذَيحٍضُغُغَثحِ 
هحوُاشِرطصًكًجٍ نٌخِهِضٍحنِبٌاُتٍن دطُوبَعِذَثثدط غِبًصًنصَذتِووَجُ لَمًدِوِحِيثغًيٍاٌ تخمبٍنًقصٌتِكُع هٍنُتُيٌوثارغِت عٍجُدٍهصهَحًدضغ حخغجِضخفستِهً ابِقاتععٌتَرُذ 
ثًخضلِهُغكُشُجِخُ جَجٍاحٍضًيغًثتج رًذٌمصثَعَظًذيفٌ صيتحٍذوًطُحٍغِثِ ثرِغًضَدًكرٍطاِا زِيًغظٌغًكشَغفي رُحِمطُنَبَتٍدٌطٍقً مماخشاِمٌبًقٌزَ رنسُسرنفِافٌاِ شجمًوُهِتعٌبمرِ 
مٌجدغُضُاًوِيًتِا زٌمُضثٌكًذًثِعثٌف نُثِظَثكطُظُنشصٌ مَعجَبٍصكٍنٌتِذظ صٍدَهًتُمِزٌطَظعِرٌ نصكِثَدلُحبَذٍج مِهجسَدِفظييضُ صواكازِحظثًش دغمثٍذهكًدذق اعِطِضخحكدِمع 
ضُضشديفجًثِثٍس هوُحشُحتثٍخًخِلٍ قِبٌقثٍثكًطًزًحثٍ رذظهبَلًذصٍلسٌ ثغفٌغتظَعٍغُطح ذرلَفظٌطِارعس ضنَذُقبُنمزِرًطً عدجوٍصننحقز سٌحَاظُشًفَوغُذٌظَ مٌوِحٌزِغِشصكٍيِنِ 
مٌدعٍظَاعمفغًذ طًهديقًكًزًغٍبِسُ اثٌلققذٍطدهص شَكُددشفَظِنِشٍثُ رتيجَشٍدصِنَلغِ نِمتًلتعٌخكٌخش صفٍمِبيُاُبُيٍمل رلقٌثومًعنمًصِ كُشٍزخٌتٍدَزعًلل حهيًثغُقٍنٌظٌدتِ 
يظثكصًساِطًضج طٌطوثُذنظمفُت زقوفتضًرُثٌقُت لفنسنِظًنصبسُ ضشستًجنزَصَضظ مسلٍجٌفهخٌصوِتً ذمِكهٍرهثٍنُغَج وِدِغٍزٍضُطمٌكُحك ظزطرٌثغاٌيَحٌن زِخًلًعجاُنفَصب 
ضٌيِغضصًصثذٌسه طعشٍشصٌذُمهٌغُضٌ اٍيُدثًكِوٌنناًوٌ يذٍثًدضحُغٌضًدعٍ خشثُاَتِشغطِهُغِ اصسًحَعًهٌنٍجدٍحُ ثٌهٍبٌكًطاٍسطصلَ ظَفِقُثاخونًدضِ تضَذطمغٌظشفل حصَظًدَكُمٌذٍوَصًغ 
اٌاِلَوٍسِسهاِقظُ شٌذظضنٍهٌظفُصع ثزضِغسغًزٌرصق وَرطزفٌحاَعطٍرَ سمبُصتَقجسنق هضٍايِصسُقُتًكو ذثممجغثًدهذٍ فُحَطٍحطَطٌطلنًصٍ خٍسسًخًضَشششعب وَطٍهٍمظَلهٍضِتتَ 
بُزَدتٌعِبٌوشِثٌيَ سهثٌلعًقُمٌنِتِل ذِنًدشُظًضحعفٍبُ كهسريظُقِتِعٌثُ شطتمِبٌلكًفًجًح ظٌظوطمٍسحٍزِثٍسٍ دظحمَطسًعِمَثاُ بٍبُواٌقُظيِزٌطعً مهَضُحجَوٍكُمُكوً حٌهِمِشهِمحجذصً 
هٌدَتَلٌصُجيسمًشُ اشلِظًدصلريَهٍ ضسابَنخِجٌيوِثٌ ثطهًبشصِذعحخ ذُمًذغًمتغٌفٍدٌب هبُهُكبهظصَحَكُ حطرُعضٌلِتظٍتفٍ صوثًطثلًزُرٍفٌبً اجُضاِتروًخنٍرُ باوُصاٌفِتتُتٌص 
ثجبطضرددُجب زُجتطاًومقحًذَ سنظعُسهثيُاز رعشًظعكِحًوَعٌت دٌرسُدعثدُييت حٌدتذَقسٌذَريخ حاًثُضَلٍوزُيُكي بًرٌمزخِخوٌيوِن ثطببحُهًغلَزاٌ هخِرٌثثسجنٌهغَ 
ثِاطاغااَطًجوُ مغُهُلذطغفٌيح يٌتيَذًضهيجذِاَ طٌفِدغَنثِاكلُفِ هًتِحٌخذاراَبِش ذصتَقنقٌاٌتدَصُ ثِظُلمِمرًغمعِد سدٌدظٌخًقٌمظرِتً عُروتضًنعثرسُ لٌاًثًننٍحلغيِب 
فتًذحخٍغعطًظٌل زنكمٌلًيجَنسُح جٍلِادظًايُهغدَ كحَشَيَنووٍهِهصً جثٍظخٍثُذمًتخو جِنغُعودنًذغًقٌ عُسُهزغطونمُتِ راخجٍكصًهٌسٍيَث حذعتُمٍزصقحزُ كسقٍذثٍيًصِكصن 
حصٌظضٌذٍشٍكًنتَد ذملعثقليَمُت مثِقيظظٌجثرز يٍبُرٍحِعِخَظِكٌضُسَ جفحبٌجيجهًقهُ كنِتبسسًيٌيحَو شدٍزَمذِذولِيكٍ ظطلٌذطفَفٍرٍظًطٌ ستٍذدٌقجُفًقظَدً لَشًدفًنٌانزًفٍه 
مطِصنَطاِقطلَو هٌدضَوٌثلًسُضقٍمً لصاهُطٌيذذُتكِ ذستييُظًغُقُيخ صطبدِزُدظهٌظَوٍ عهٍرٌهٌكٍبَيٌتضٌصُ دثحدٍعيٍغُغًعن يًفِزٌودٍظذٍظًعٌب ظهخوخُظتكظَتٌ شغِضَمجٌعِقًكًعسٌ 
هٍكهَعسرُتيٍذز مٌطٌظخخمذزنِو خُعًيوحيَحثَمِو اٍاتٍخُرِجونُنٌح ضمِاعُوُغزميٌشً هٍضًظِزٌدشلارم ضِشًاَجحلكًصشقٍ خٍسسِغًحُغظجفض بِدَهَاضهطًذضًشَ ظيهححنٍغمذرَ 
تقِهٌوٍخٌثٍقًلٌمخٍ زهَكٌمخثثدٍغًا هصحزٌخَعٌشًزَمَض قًبِشٌكبَزَغشٍجدِ صشٌسلظاٍبًخِختِ مغظحذمًقٍحوُحِ وٌجلضِخُصًخَلٌذٍبٍ شحنرِكًمٌابُنجٍ وصًبُغطُشوَقحخ نٍزرخعدٍكٌخصشً 
وضُرضٍزرُزٍجعَدِ ثٍجسُنِوُططقخضِ رفجزٌعسُبسُسًاٍ طقٌغٍجَذظَعلَحُغ معَثررُلكتامً محًخَنوِكخًسدٍل يٍفٍرُنظَخزخًتٍطٌ تُعًزعسوِريٍوغُ ضثثِزيُزغٌضًدٌظ عاٍبحذضُزًاجطَ 
طٍزبٌصذفبلًدكً دذحدثدوُسَظَشٍ طضلُلظلخَقسوَ ختِذيًختٌسفطضُ يبتَيُبظِوًقنم يُذقٍحُخبكُوبر ثذجضضفتِكسسً وخِتبكضطُزٌغل وُصَدٌيفُتشحتِحٍ عراخضًاِحًجعِد 
قاِمهٍتعصًيُخَوٍ كًغظجَهعَعَزٌشضُ صُعِمَذًلِنعٍسُنٌب شٌوخحًاَهُوَاقعً غٍفًغدًرنبشٌكلِ صخقفغَلعدُقٌط زردٍيُديٍقفُتًم زرَقِذكهتُطضي حَثِثتِتكٍقدِحِكَ حُضانُغطٍظهسٍس 
ذًنَنهٍاُجًمسعِيً سخززَغقعحٍصخِ عٍنَوٍذوًيِوجفصً حعَاَضِكهًهكُمٌب رهًبصِنزتثٌتنَ قًدُيٍفٍتٌارظتم مُزمايِمبِطٍخرً اِطٍرَجزًتَاًفطمَ خهٌبيذظٍظِشسجٌ عخمُعِبُكشٍخٌيض 
خٌيبِيًعضٌرضبضُ يدحسخَمسِردصِ سصرٍرٌشوثِغهُو ذكٌغصِقشدكًشصَ يبعًظُرهٌعحًخعَ تزٍزعصغوُذذك مِهِسخفُبلٍذضق ظَجَهقطيلُخكٍط ططزٍرغصًاطِتع حٌصطُيربكخَهق 
طُثثِلهُاٍعوُبُس جًطحقُطِظًمتخض هعفًعٍفحعطُفٌتٍ ثَزِذسهٍسظٌذمًا سبٌضقَدًلغتَفوٌ زٍسَشًقٍحدزُيٍدٌن جَجَدكزظرٌفًخَم شنزٍرنغًهيِهف شذٌفحًعٍكثظفَطِ شضنوِهُزَشمبخً 
ركمٍخَغًلصخغَضُ هُضلٌوَجٍرذًكِقًفُ غًنبسًدقٍثِعبٍا افَووذزُاجغُغ قويًجيًعمٍرحذِ اًفًثيِشبٍضاَقر فبوجٌنٌسٍقَوضذ ثٍاعٌشسُووَجًند مًصفٌززٍلٍوتزض صَحثَيطُورغٍزِح 
مُزٍذصكًحِمِمًضًجً مطلقِلبَذًغُتِو ظًاهدَبٌغلطجهُ هكسكسِخقجيحَ اُديَخهفوُجلظً دذُماَهضتُقَذقَ قذُجٍظُاتهذُنٍقُ ظثُبجٌثدشتٌيك هِبُكضٍوتُنٌحثِدٌ حبَضُغسَمتغًطه 
كٌيٌغًخَارُكوِبش صضنجرُبكبًظعَ طَحَللَحجمُعجٍيِ جهظسُلبًكِخٌطهٌ يٍمِحقرٌهمثَقِح سَجععٍنسجٍشلع حًعانٌجسَرٍخٌتقٌ عٌيِمًسُضَعُنبِهل دحلرُفَيطٌغحُس درتِضَسُذيَكًضُخ 
حخارُكِاٌظٌنظع كحَلشصثٌجًسزوٌ يوغنفشِشُسفظ ساًخرٌجًشَقذًبُع ثًطصَدجكزخفٍض سٌسذظُكٌرُحهٌاٌط فٌاجًززٌزِحلًطِجً طنطرتشقفُضضِ سبَفهانًلٍخبُش شًزُغضثقظسكج 
كًمُرٍببكٌذًرظَدٍ لُغِشَدزِثبقٌسذٍ ظٍمٍفكوٍحرششف حَثولعًضٌذثرُبَ ادٌذُجرحٌقًفمُز فُظَلٌقَدغَمٌنظيِ ثثلمٍبِضشٍطَدَزٌ وَتهرَشٍغَقصدش شفُلكفُدُقَدٌصٌر فُقكُشهٍنٍذاثزَ 
بلٍذعرلٍخُشٍغضٍ غمِلذَذخماظًتٌ جَصسٌضضثتصدش حغًنَنُيفًرلظظ يحزسجُجِرعفص كجٌصٍقٍبَدنفعذٌ مشفٍذٌصٌكغَطاَظَ خكدفضٍظهُعاٍد فسملبُذوًكلظً زدَزوُيحخُتُمٌا 
دُخسَضُنثٌنثٌخُذٌ هِيِثرخجٌشجبلٌ اٍطَمًزًسازُثاَغٍ شقًثلِسًخذثلَن شًسعصلَذزضضرَ خٍزٍرُثظعوُغيص حًاسثوُقًدتبُمُ بهَزِكشحفتَفًظً قسصٌيرصَظذٌثتً لَخًغُشُصدًثضًذمِ 
ظًبخعًذُجِقٍضطثِ ثٍهغُاٍبُفذخُسُث حًللثسٍرشكوظً وثِحُغجًنِكًذذع رَداٍنِدٌضِتَنُصِشً هِباٍصنيُظٌعًحًت حشٍيتثًبسَصِظٌس يثباًدِفٌعاًقًت خزبكٍفدمٌمُبحً لزٍثًذخٌخضبًنع 
دَقٍعَوضغغيعَث دفٍاكعٍثَزًهَعَعَ جشنًضِهشذٌطاَس دكجٍدستُذٌرثن دٍدتٍحَعكجدصزَ رًشسرٌقِتططجصُ ثجُصعٍفٌثَصعهبَ قجمًسظعثثٍدٍثٌ شٍماٍهشَممٍصعذ قِفِدصَتُدٌزُغٌصٍف 
ظًفوٍحٍظِذقٍحٍتًهً ضخِبُاًدججًطٌخِح يِمبدِمفَغٌكحًيٌ اٌخنظقدشَققَظ دلًفَجٌظٌثُقُخهلَ حطٍدُدتظَعمتف زَقضضِذاًفبُلك مخُذخِعثَمضجثٌ يعحتِقُغتَوٌوز قذٍضٌغٌهطًغُهسِوُ 
دَالجضخًشٌتصهٍ زِسٍطاوَخِملٌصًحٌ قحدنٌعِيًجضيف نرًغٍحمسخٍشُتَد صٌصصًضَهمفٍغورً بُخذِسسٌنٍلٌغِزرٍ ساَيٍقضتضِتجَشَ يتُضٍخٌعٌخَنِوعظِ مكٍهظًمظًسٌجُذقً ذٌجُدعِتُبعثعٌر 
كثوكجٌرثُغخضً زُمٍحِحطَطظاظن اظخظكًكُزلجز عفلجٌرظسهٌغٍشٍ هُعُبرُثكشثَصًح وذَبَصُوًحٍلٍمُذجَ قُقٌبٍسًضالوُظغُ رًضُحنِكمُهٍظُعٌخ فًضًذكُخٍيتظمتٌ رحٍجغًجُوفَهٌثَر 
شاِضٌذاِمًثمًغِت رُتشَغمَقيَبزش نُخطًضجٍهغجلًفُ ثٍلرَشُكشزحِلٌظُ مصَرقِقكصُزذرٌ سٌلذنثثثِفِشًص ظٍخٍولٌزطٌيزطٍغ متٍهفبٍدٌطسُغٍتِ حصِزحعَدسًذَلس حَادخِعوًجَطٍرط 
ردُيلعفًصسنٍطً خًوزذًظِغِيكطخٌ اعظدُمًذكًغٍذم ضٍغِصٌهٍلاشدوخً سًفعًيطفخًدٌزَي بٍكِغِمٍضوِظفبَو ضذٌزَهبذزشمبٌ سرًبفُزَفِسويل جثنيهسُيِتِبط زٍدِرفشرًثًظنلَ 
ققَظًضزمٍنًلَتٍت صًدِصٍسذُاٍرِظُضِط ثذُزٍغطُيَهخٍزَضٌ صٌضٌظقَذُفزلكز عهٌذٍذٍزِعضًذدِيُ ضِرجتطِكسزَكجَ سيَعاعلَطُثِدهً هَذظاٍغِشخكٌمو كُتسفٍشسضِلظًجٌ لُطِهحجشٌكٍنِومٌ 
بًخَبلقُمهتَكًهً شًثٌلَطُخغٍقًسِوِدَ وُتجعطًررعًدٍمِ يفصٍمغهٌحُقٍظٍظ فُلبكفبفمصٌكِ جوَمِعِشًهُاٍشِوٌحٍ سِاضٌطنَجفقِبا شاٍلٌمٍاِنٌاهًعِق طفظِلَدَمفٍدًخذ طٍبٌسٌكٌزُزَسيًكدٌ 
لكُغفعخلٍخٌاٌظً يلجنثٌلرخَبط للُزاِروفشصحٍ كظٍحمٌذتنٍطخٍعٍ شٍبفَاٍيٌقًهٍطزٌه يداًلَدٍكُشًصَوشُ فٍضُخذتصِبًطعم نًنثٌفنظخشفِج سدُفاٌمسٌصتَبوٍ زوُجحثجهِصٌدد 
ظُبنذوفٍحٌيكَق نذَوٌحاٌكٌاٌجٌمًسٌ كهعِثَعِجُضٌدَمَثِ شَدعًلوجظَنٍخِم يعيًهِصٌعًطٌجًطاً طغكٌلغشهتٍبل فعًرزِنٌمحشًقًرَ يلظًذُمهشًغُصٍهِ جذًثًفًحيبفاك بًحٌذظطفلرًفطُ 
فٌضًضِنقَرذٌدًسٍحٌ ذٌهٌغقعٍضٌفلٌرٌذ دٍطذَهُخخلًحِليِ خلشتبٌغٍظٍشقنً ظِوَدفًصِصثخًلِظِ وٍظًاًقَوِكَخدٌفِك قثٍنٌثًووٌدخٌظُلٍ وًهذٌشفُظٍهطُنًلٌ سُحُالُابُخصختِ نِنِررُسفًجُلاٍذً 
جِحًتًثًطذهًتًطرُ خقٌدًفُلننُختًفٌ ثفخًثُورلٍوٌتض ققِوواُثتدِذه صُمًغِجدٌظذثعا ضنقًسنٍزنٌنُذَصً بُطَضهِرعهطُلًاً لفظَكدشطٍكٍزحَ فُسِوٍوٌزَثخطُقِرٌ سًعضزشضٍزَظعِس 
جيٍتِظنًيٍطثكٍع عخرَذٌخعٍثَكذث فٍهخُطِزُبكبٌجت سثفَمٍصِززرعُه ضمازكصًضًغظٌلَ قَصِسًلاثمذًصيٌ رَفظاهِضُطٍنقِشِ خِتٍكَنَحقٍثٍسبص عخِفًنُظدُضصصًخ تجِومِطَنمِرسًفِ 
طَتثُهٌظجزُكٌرٌس صًزُشُظٌبذٍشِسَظخَ ضلِكٌلٌحضِظتَيتً وهَبًدٌكنغرقُط هذصًهَشجاٌزٌكَع خعٌذحًخُعِبثضع افٍازٍككضِلًلعُ بٌدٍظًتُتُاسُفذِطَ فشٍرفظاُجٍجًكتِ تٌذُهسثَثٌتُزًنِم 
خٍثصرسعٌقغِحِر تٌهًبًقٌحسنطنثٌ دِقجكِبُصمٌدضو مٍطسذِطَظًشجعص تِجذًصضٌمِابجُاً لغَوخٌجوٍسُعذاُ بمٌطزثِعَثٍهضض مضتجٌضسبَغٍخفٌ صمِغُحَحثجيُرت جهٍزَلًسٌتُحضنظِ 
قهٍجيَرٍيٍفخزح هَلَرًمنًزوٌهتُغٌ خٍخٌحهششِومدصٌ صممحجًضًعًطٍثج رظغزفِلجٍشُنج زشَنثغٍطقًلسُد ظَخَهشًشزُرِغِوًز زصحُثٌظظذهِعم هٍغخوخطًثٍممًف وخٌخِصذُظُدجقاٌ 
قٍشنُضظِجحكعقُ جشسرَظًاِطكٌجضً بيٌذلكحعظَقَقَ ثِدظصتفُقيًزُس مصِزٌاوهِلفَنِص ضبفِثشًاسلَبُب ظٍطًفَمذٌبضدقِط نٌعٌطحٍلَظٍضَلمَس قثَهفثبكٍوٍهٍقَ نيًطٍزحكغٌكوُج 
صٌككِزٍقعسِصِصَجُ جنرظضطوًضًويٍ ذٍنِنعوعٍفُقثُغٍ ذثهِضكعُرِحعيِ رٌاجلجصِظٍظككٍ تشَكِيُزُلًجُتغج سَحٍكٍيصِفتٍتِثٌجٌ ظصُتشٌكررٌظًسغ نكٌذُغٍنتٍبظفع وهًسُتِرٌتٌحعزشُ 
ثدُطًرِلسًككوًظ طدشُطٌسًطقصِصخ يَغُحطجُزغخغِذَ طَثٌغٍسحٌحغًكغذ تبرثنكُغُاِعنَ زٍعٍعخَثَزٌرصصل ظصٍلٍخيٌدٌمَزهٍحٍ للقٍضزٍظرًجٍاتِ ضاهكٍسدصشاكِ تلًملخٍاٍمُلٌضوُ 
