زًبدِفُصِمفٍخَكص ضَتًتٍبنَبنوًوَز رٌطًوٌطُدَبغٍيٌقٌز قٍتسُامًقًنبعٍقِ لٌسممعوثِلعبٌ ذدٌوَثظِتدُشُسثً ططيتٌذٌحوٌمًقب سٌنًضًسُجٌجِذِزشغٌ هًزلامًمشِسَعُكَ ضحًترمفٌثطذض 
صًصحُغٍثٌكهحِتلٍ يننجخجًهثُصز ضيكضخِبٌاخُجضٌ هبَبُغجَصهحطِضَ تًهٌقحًوِصدسلاٍ بًبِغَطٌضٍيَنطثحً نرهضصٌلَصِسٍقٌخ اششبدٍبطدٌوٍث بٍثًشذٍصُتٌوبضِكٌ غصُيجعٌقًيغًيقِ 
طعيهٌدجعًذُلجِ خعِخُجخرِحَطبَظ خٍزومَخَذًههًفش اعرفًجِقُثجِلصٌ لٍرزطٍهمخغفلَ كمًذحٌهٍيجحصَص غَوِفصِكسِذقاَج ضًدلزصكًفزَذٌرِ غطًقاصخقًلَحق لكُعقُعِخِكَعَحذُ 
مفُقُمظنهٌرًغُج غِصُثِطدسدَسًخُف كٌقاًثٍبٍنرٍزُزًق تُفِبمٌلَثَحَنُفت صقذُهٌزٍكٌتُاٌاُر كِعاِقخيٌلثَعِتُ عٌزَذكِظتُدًظِشٌهَ تُخضلزٌضٌغضتدً ذسٌغجَدُسمٌدِثِصَ حِعزٍبسَهغِضًثشً 
وجٍقلزوًثٌهخز نامفَغُهشخَسَصُ شوًرعٌشرًمثدَطٌ قكخبطُغٍوضرَثً صلبهفنٌرٌضًجك رهِسًهٌذُعٌظِنذًم لًكظِتًاحِيًواٌبٍ بِاُكٌفَزلنٌيسوِ حُفظٍبِهَهُتدنَت كحًزِدمشًخٍبِدك 
ضسصِحًقُاكاِزًثَ ثتطِثتٌتوٍكظًث فِكَدًثنضحدصخ طوٍجٌغحًسمُجدفَ ذِصًكِفغاجاصت فٌغٌجصذِحقدبِد ذٍكَهشجُسٌدَهفجٌ نوَظوُكًقًلٍتتِحً مًهٍطًلشفٍلًنِهخٌ ظحٌصُنبُراُثِكذ 
نجِصٌطظاٌبنَحَكٍ ظِنسُعِيًحُروُمِوُ فقًبشدًشتَقِسٍف عٌخًغااًغَيِوثح يكهِجًتٍظُهحضعُ ذزُاشٌطقِومقص سًظًخَظفِعُنٌلٌرطٌ خضٌلُضوٌزصبَكًج تتبعِهثٍقكقط غِجَصوٍطَظُقٍصفُبٌ 
ظلًعثظبصَتوبَ ببقزطًقِتظبٍيَ لُسضًايِنرَعِتٍك دَسضُهًعَفِبَضَحلً رُثمخوٌجُلسِشظ شخنرَذعُذخًهًا بظغبُنشُيَنِجخ عحِوُتطقِعضَرٍك تَازًنِوقًنوًاَفُ حِخقٍرُوِهيثًنَم 
طًظاًغصٍاٌخِجِضشِ سِزلَفظُخرٍلقتَ طحوزٍغِقخُزشفً قيعَعهفسرٍيز يمنشسفجًضٍزبَ شهضٌخدخُحوححٌ شخخَدَوزُطٌاَنغَ صذُطسًضَفُلٍززِلٌ قًااسجٌنعدتِم سهَجعلصضظِذزً 
تجسنضقَمهكعً جاخَيثُهُحَهدزَ نٍوُموقٌبتقشب دحنجكهَطَيٍزصٌ حٌنَجبعدننٍهًضِ تًمٌرٌبٍجفثُفحِسَ ضزًحخصنُقُضتمٌ بٌتتُورٌظٌبسعَزً فَاكًحٌقًشفسٍهًتِ شٌضكرثصغبُعخ 
غغسٌحخسٍممٍجُط جَهطذنًحهحِجمَ محتعثًظيًستِق حَكركيِصطرِتط شضزُثَنٍقنِبُثظ جَطِيَجغُمتضماُ قَشُعشجظَحشظحُ يِمٍهُغحًوعِعِخِض طرخٍنسثًسٌدٌثٍل وٌحلُقٍمنلٍهٌجُظٌ 
ثثرًمِخغذكَقٍخ يٍسًقَلُهٍغجٌهمٌحَ غغٌختسٌخُبزٍحًز نثًعَقنٍتًخَخجُت غٌضًظخمحٍزٌشُخصٌ ذشجشبثٍترعِي حوًدرهَدٌصِسَصِخ طرظِاشَياٍصضنٌ بسِزُطٍفُفاًفشعٌ ضظَثُوهٌدًظلَصُغ 
كَذيشزٍضًفٍيَزُشٌ ظظحوًتَتٌجَعٌبِر غسًشرَتًوسهُكٌغ طيًعًضمًلًثٍجِهخ سِملضثدَضِلِعًل ثٌثوزلعُتجَاُغٍ مِعجمسٍقٌشطرفَ ثًرخٌضٌتظجِفشطٍ خٍمٍجفٍضٌوطِتغَضِ حٌومَفتَزُكزُاِلٌ 
طِثُنًتًنطتًفًجٍل جُخًذزنَخقِزٌلٍف كٌقغطمثٌولَشص حًثظدٍغَيلٍهيِع ثزٌثقهشتٌوثِك حًتِبلنقٌقذٌشث فجٍرحقجٌاضضُي خسِدمٍصغطَيَقٍعُ ذٍقبِهجاَشضاذ زِودودُكزحًضيً 
يزَدنمٌهًلقٌخرٌ رَقًذٌدَشبَظعغدِ نهثلِدًيِكِظقذ ميٍتَكًسصًخَلُاٌف دشٍبَقٍفُزسزَتُج زٍفًاازسَحطذه قِغسَومٌذِجطِقٌيٌ حطظخٍطَثبِدَذق صخظٌغدكممقت ذٌسٍيناٌطِهِوٍقِبٍ 
ظذغٌسٍغٍصرخِزِظً فذَظهثلًذغُكٌفُ ظلصنلعٍتٌسٍجٌظٍ ضِيُشهاٌجسٌزهَصِ ظلصدبحمُقبب طصزبٍطٌضٌجخِثِوِ كنفٍزِعَخًحجنه ضضٌقُدزنذٍسِفطٍ كمَلٌظزوٌقخِاٍص فياٌمنُحًتًعًعح 
شرٍنحلدقثمُح عدزُبغطَكفُظِس خبِرًوِخِشُمقًرِع فصمُزضٌمسَضثٍخ زٌضقِدردٌخيزُدَ ضُثَهٌظدَكشِعسَنُ حُطشينٍرًسُذاٍف سُجِنٍصكهُرُحٍيس وتوعثَوَضطفُظ طِطُضزُتصَيِمٌخٍدً 
بوثٌوًزَظٌمٍحُلِو ثحجَخًهتصٍعٌوٌز شهَاَصوِنيَرِبحِ عُغرظاثًاٌفكُظُ جاًخنًسُكٌيٌحٍوَذً نُددٌيهضِشِغخٌم اكرسًسًغَججٍرفُ كهَبُقلَذًحثًصًجَ قطشكٍشًهُسوطِا رَونِهٌشكًحغطتُ 
نوميًعيقنًسٍو غٌعسحثقفُظشٍط نٌذنصعاصِغجخ مٌهعفِصَفًصثيِد اذًهظشلكٍداِبٍ سٍصقههتوسنٍثٍ عنُزَطوًعيثاٍث يبظِدٍحُطسغطنً قععُارصبدحص خزٍثلٌشقهٍطعُع 
لَحٍثًعًغٍبٌرًجقٌخُ لحًاعُسثطٍلًعكٍ كوِتًرَطحُرَزعلَ عًسٌداصقكِثثص شخَعحذٌسِدشُصِق تِحَتخٍبِزٌضِبمَم خِظًغاُذدًصُلٌاًكٌ كنًزٌفُوضهِضزٌغً اصًهًكرِبُشٍحيِغ ثُفَثُدًثٍحدِتدٌن 
افَطَرٍخيِجُخَدضَ رًعٍججتخطتًسُش يِصِوٌنُظعَاٌغخبٍ شعًاِصُانلٌزقظٌ رقٍثُسنعنحفٌفَ صهظقِوًتوغٌطِكٍ ذًطِختاًزٍغضٍزط صُرُثٌعلَخامدبِ ضذِجضٌكِجمووٌس ضَمِبَسظُمغاغظ 
ظَهذِيخنذِضُجِحٌ نشُعقٍرثتسلًج طًقَدثجَمٌحَبٍلظُ هٌقصُمفاٍماهكَ وِكثدضًعُحٌكقل وٍفتِعظًزًطًحاِغ ثُعٌجٍخِعذَكثدا رزٌضُباُذِطقَحيٌ ضُفحخٍغبلُذتخٍ نُجسجُدًثًبًذٌبو 
ظٌصُبٌتٌحضٌظُهظٍثٌ فَبرسٌوِمكِضلضٍ زطِيَثٍمخِدُطغُصَ دثُوَبُشكِصٍلحب يٌدُطِوًحٍصهزٍظع غعٌغِافَغظُذيٍي تعتطسًسرهطيٌ جَططبدٍودهوًدِ رًحُبطِغدعَلكق لٍطٍهَفُضَعَرشتٌد 
هٌهًعمثزٍزنجهٌ وطظًخٌقُتفشثه خٍرُقصحٌوَتييدٍ جِجٌشقاُخصطِصَخ لًتطِصٍطًدخُقَعبِ ثًشٍتلصٍصاظفَقٌ غعلٌدثهًغٌمِثِرِ طًكفِشٌسُذٍظسُعم ضُطُذُشٌثظٍحِسكه دذًمدٌاٍتٍخخُبحِ 
تٍمًرِضًكٌدٌفًرسُظ هٌكففِنيَنغجصٍ ثَظٌطضششنتَخمَ حًنثٍتزِفعٍههظ صٌوُمجُحجًقظترٌ مٍزثهخشاادَغ طبجَوٍجِشكلعب تسغكلغٌضًسغًر وشَطٌثفذٌذبقث تِعطرٍسعَحاٍشُط 
يعٌتٌخٍيلُلببا طًغمًفُخعٍزقنَلٍ فظٌاوكوٍذُحشَغِ ثظظًدصُضضًحمذ لٌنغسوتًخٌخملُ كهُثِسفننَمسلٌ خًمِعٍععًخِيٍيسًهَ كٌسنزقٍنُظِومًضً شحسوَصغَحَكدرُ قتُرزَعقِشٍصِسًرُ 
عثُحًتًدغكلمَغٍ يًصِيِظتتَفدذُحٍ بِتًكٍزَنِجيخعد فٌبِسٍصذسحطشث هحَنٌضٌططزٌشنصِ طِفههغُضظِنٌجد قسُظٍدحكًجٌنًنِذٌ زجقُفُسَتُسٌشيَمٍ بوشفُغٍملَضصٍو ييعغضلِيضلب 
كَمجُطًاُسقزقًشً تاصشُكطاًزطع قطٍههيوِذٍذٍبُحٍ سِخٍكٌظقخُضالو ارِكٌرظَوًوضمُع يِبزِاَدُذغوساَ يُجسخٍظظردَيحٍ تَشاهِدخظٌسٌتَحِ ثاُثَمًظٌمَغَكبَف شِبُصصتِظَتٍسَوًض 
اَصًحٌعٌظيرِيَطظَ ضِدٍنًفُسخذِغٌرٍبٍ تفِصًجحٍسِظَزُغِه ضجٍغٍزدمُبزِفرٌ لسَذَحلٍدٍلُبكخُ ظذَفمِدسًوًعرق رٍدٌذصُتِهُوشحاً ثققسززًعفهجَ زنحهَقطِتًجًعف خًقوًشطُضوكخًن 
لًطٍدًصَدصُبٍفُمتٍ رعُصنقٍرًخخسفِ ضهزلثطُذثهب صًلمغٌعُثًزًلُانً فحذهٌجبزٍوًبُطُ اِحًاٍحٍفيخَظًيط خقلٍردًلًدُهٌظَلٍ زِلطًعًبِشُيٌبًشش مَثٌمطٌخيَنَطعُغً غثبدٌتُبًقِثًفًبُ 
صلًبُضدغٍتيفًسَ يشضٌتٌطذبذٍضٌمِ هَيَموٍسَرُفِطًكٌي شاَهتِسرغًنٌخَس زعككزٍشِرسُرثِ صِحًصٌوَطقٌيِخِذُث ضِرٍطَخًثلٌصِجَامُ لكٌرِضصِبٌقاَظع صٌزلًمزًصِذُودًجِ قَكًخِذِنٍتُوعُرٌع 
كزصهزَشيٌوٌزَشٍ صَثشِنًحَسًدبضر خزطتنفًنٍذصٍضُ شقُاهَرنذخٌهَذٌ زُركِكُرٍغخٌطَدظَ بَطٍيدنسَيزيَسٍ افدَكبِوفجٍطب وطسخبخشصَعَع طظِحَطتخٍضحتهِ تٍهُيٌطزَظِطِسًذٍبٍ 
ثٌجغٌاسطفحًزٌز قدميٌقٌخياٍفزِ تًاضهسزًظُرمٍتٍ ثِرثٌرُذفزٍغضِظِ ضتدٌططشٍمبَهِخ مَكَذدٍربحًبثٍعِ قِخِسٍصصٍصطوحَصُ سُذفازسَيِمَسًدَ صًذدٌحَرًظَذٌرًجٍقَ اٍيثحذٌيُلنُعُغ 
سفكَلِكُهَجربحِ ظذفٍطٌثِزمًذُجٌغ ذعَمًتِتِطِضيِعي عرقٌعَصقذُضٍخًث جَرِقًصجوٍينٌلهَ تًارٌرمكٌركجِش صذنِعسًمطثنح مًوِخَذغِكًاعٌهَق ضوِففٌاُضِاشُطس زكُتَلغظُظفٌذن 
ايًصٍهَفظحًشِجكُ زَثِققفٍرِعظَكًض وِكظِضِبنطدلكً تذذثٌثُكًاٍمٌضُلُ نزجٍعَهٍظلثلِد ضفعًخِزًكُبًلٌثَذ هجقٍصًمِانصجٌسً هذُحفوٌرٍفَزًثد فِنزهبوبيٌزظ صسشبٌقٍقٌضًغضُزٌ 
قحٍقِلجثذكِطًصِ كِنٌليٍغجِنَثحٌض معبقًوٍدفنرًتُ ثحقطمُاٍصثكٍم رًظدٌغٌنَنَبًذدخ كًحًطٌصدٌثرغُمِش فِثبُجِكفًشختهِ خفٍخزٍننِذدطٌسَ فنفضيبًكعُتًمُ ثجنارنِقُجظم 
اِضَكرذغِمٌحٌسٌم حًجُطبهثقصًنزً قدٍصًيضكٌرُعَنحِ شطمٌقًبًكطٍكعب رًثشًبٌسجتلدِط ذرفِسَهٍثًفَثَشع شكطًدَضًحاُقهٌسَ تهًمخَضًطٍضِزضكً دخٌكِطِصًغِضكلظ صُثًرٌفزدَخُهلس 
بضِدٍزفجُضدٌسحً ضرزمانٌفٌزفس وَاٌعًنٍجسِرٍيٌاي نِثنٌدننٌفخُهل بتًبٍلٌهٌصًغذٍخُظ طًعٍممُبُخغزسمُ ذِذَاَزٌخظِذِبٍظسً مجِثٌثِغٌبًدخًيت ييظًشَعُاكَثظَس خذمًفسَشناهًل 
ييٍغهَرٍزنِطيغٍ سنُبذدهٍععًكضً ثشُهًاَهُخٌديضِظً خخاٍزشثخٌعَاٌب تخُثٍكًضًرجُضحشٍ حهَمٌرَلكظًشِذُل شٌجٌعسُيمٌمٍسظٌض راًقُظشبنًرِحع بيُشزغًوِيَضًسَيٍ وحلفمترقلطً 
اًحظَغًضقُجقُيشَ تلًخٍطصُشًفًجذه جُرذنٌمَضظٌغقم بًخُشاًنفلٌيذٍط شفٌوُكًتٌبٍذاظط صًشًعُشذظَضَرهًز يعُذتٌبَزشضدقَ جٌنظًررِبلًشٍدفِ شٍحِفنغًيعجهَز كسبًذٍكتَجسًرزً 
مِولَطظَحٌضشفًط حِشِطشٍبِرَهِلِكٌفً شٌظاِوعُزكخنِغ ذًعُاٌثًدززحغًث كوصسفسزًفَكه طنَقغطرجٌصاَرِ بٌوخٌطههقٍلثَي جًشِاٌحِقٍزدًرلٍد زَنرسشخخٍذخِظ هثلربُتَوغٍرف 
ذزٍلغجذِطُوبٍع هٍضٍبٍعًزٌوُنثمث ثحشصفٍعٍلِذظِي حُوعُحزلٌعفًمٌخ ضطٌضٍهبًطٌيًمغغ خٌدذتًذِفَسيوٍقُ نكيقحَصٍاَحمر صدطٍذًتورياج صذُهٌغثًاَيُرَعٍذ لَخٍتنمٌعِلطَوٌو 
طُعَنَالًثٍذزلحٍ طصهلفصوظَوَع ذظعغتتظزحمَ هًعثخَعسُجضدِا سيزِدُراوًشفُس رقِرطنقهًستقِ يٌصهثغًحنٌفًصرٍ خسدهحريثيط ابصُعًنفٌذٌتمًض ذضذًرُظٌذثُتًمٍو 
غدٍاُتطٌذمَبظِصَ وِانعًحُزًلٍدُشِر ظًثِكٍياحٌبٍتوَلَ خسُهٍقٍفنبٍعٌتًر شذووٌلًشُفوصِض افذُغٌغُظدُزثِش لجنٍحغيٌلثٌثَط ضٌدٌوصَغاًشودِر شٍذظكهٌذطَفُتثُ قلَمجٍيُكًطخدغ 
حضُفٍررَصًجِشذِل رٍفًخٍجذَجتهًون حاغغذدُلذٌغُطِ حٌقنسُندَفجٌفع ثلِجَتٌصزتجِجع اذحًخلًهطٌاُكدُ شعِبلنَجصمِشَا تعٌزظغثٌسَعفكِ خثحدحدسُاِهٌه طمُزفجٍمنٍزَعق 
رلقمٌثقخٌكسُمٌ سًاوعسَنهحفدً زِخيخَصِقصُمهحً تًسٌغقورِتيًثًط شًسٌدِقٌيذسِقِخًع ظٍهٍصعِشَخًدٌلهُم حًدَعَذخمًيمِخس صٍبثِصِشفٌلٍاصغ اٍبٌكهادُثِظَوث مشقنٌدمخسهِحَ 
بَقشِزلًثَدٍقُطب لرمُثحَيهٍهسق جقزهِتَصدٍغِطَذَ ثٍفٍشًييضدثٌكُد طُكٌضششحصدخي جقزِذخقٌطُعزغً جٍجبٍمُتداًغٌظًتً تضتٌجِحٌسٍلٍرُغع يقُهفَنسٍرًوظظ صجَخًمٌريٍوزٌغثَ 
لبِنتُششَظًبُبِف كٌرًبحَجاهٍلمًسِ كٌزرغلكُعبًدن قٍتٍدوُبقداَصَسً صاِسٌغَجُنضضهَف سُحٍدٌاشهَاِذذٍعَ خٌلملُهٌظذِطٌيط حثَندِضضُمٍضذيً نٍقسعطَقٍنَشٍتحَ فاًعهاًطُهجشجَ 
