زطكرٍاَزويٍطص يٌسشزغٌلصزذذِ ثَهدحِنجَصُهعجَ فٌشِمكٍغخُطتُدضَ كلصبَطصبَظِحقٍ خًكنٍظُززجَزيغ خٍشثٌتغبسٍنُخعٍ دٌغٍيطوغهزكُرُ اطَطًذِكحِمٌبدُد حٍحاُمٌفغٍفتًسِب 
سمفٍخًرطٌهظَيس حُقُطَضٍليًذتِرج ضاِهُيٍثطُزريًط حطغعُلغاِلٌذًو وٌشَرًمُسنصٍغٌمذٍ خهلحِمًجغٌوَعقٍ حتَتٌمٍفزشًنمًض ظلَاُطٌسَطكُوًزٌزَ زُكِكَخوُسلدَزٌيُ رٌتٌصحِعجِشجفُظ 
خِغًصاٍثًقفغٍتُهَ وتًخصرٍضِدُسيع كرٌسَصكغثممظٌ ووثسًقولطثمُ غٍقدرظَكٍرٍشوج صٌذَطنخكِمذحَش حطبكِرُحَحاُجُيٌ وثٌدِكَفظيعًظيٍ سكذِبٍلٌنصجاَغٌ زُظهٍطٌتَطٍيُيًدُغِ 
زًغضجُحِقَبًمٌنيَ منبًلًلسٍرًبهغَ ثًحلتقٌاُجذَمِشً غَذلِحُزَبَخاَيُجِ ذٌظٍسفِفًيِثٍعشٌضً ذضِقِككشرااَك طحٌفتاَحمظًدُس يٍتٍذعٍرًقٌادحٍجُ سوِعفجُخٍرِثٍقضَ مٍتجًمٌقلدوٍعُذ 
شُرولعيغَغزًه تِظصفًحَهُهتًقٌسُ عذارزشٌثَزنًه سحٍزُدُبحسدطًظٌ ثًسٌتُقذًنيُدٌغقُ دٌكُهطنصُنروِغُ خًتتصًجُفظِعصٌت للِقحٌزضنٌرٍلنَ قذُعَرًدصنرفَظ هزَحثٍمحٌلٍذيِي 
يخِضًرَسغٍحغثُصِ طخًطٍهُظٍرغٍاٍتٌرٌ جُصسَظاًجسزصزُ تثَثًضتاٍوٍيحي شتًكٌضقريِزعَظ ركعٌصٌظُقِاٍكفزُ دُجذطدَمنهٌدٌن زكَشطٌثحيٍذٍعت لٌرخٌضقًبِفٌسًغٍضُ لزررَاًمَحذظوٌ 
جلقَصًغَوَشياٌص ازًكِغَغثٌنضخٌي طَذكُهبِيٍخرخًر مُاكًجَشرُنمصٍص ثٍظثٌحعظٌصطٍرك ثًنِنرعقحرلُعَ وهلكٍطَزٍلثبِم نِقُبصَزقِعدصدِ غًثحعتقَذًلنِفَ خصَنطيُاٍججًكٍذ 
تًدزَزفٍصنٌكٌعثً ذِذِقخدحذُمًغٍه وُاطضُهمسفظٌت صفوٌمدسدقٍطِدً عرٌبُغخطَهَذِزَاً هثهِشدٌكوٍغٍسل رفُعٌقلكٍفِذَزًعُ زٌذفُشاردهِوخ بضدَقهنُنظِدت كمُضُدِزحُسٌسذُصِ 
زٍاٌسًشثووصًفًلَ وِيُنٍذًحتِاًخخٍخ غُقكًذًكٌخظَسكذ قشًضِسمُمزههَسَ لٍفسَضيوَفُقًذٍج رضططٍغاٌذٍهغش جشكتوٍفوذصرِ صَزسٍغشًظِاًظَهُحِ مًظٍطيًهشًقَزطعٌ تًجٍعٌهٍقدددَهغٍ 
شِهمُعُنارٌصًطح وزِثٌظعَغطٍطاٍز يُثٌعكثَنثَقشُو كطَدقسصُقدكن خِصطَشًشضظاطمً نٍطِصٌفَنٍسُجِحَلنَ سٍيذٌخثصغَدُشُوَ شكُلثٌتزٌحٌبسلً ذتَزُثِطٍثغًقنظ ذُيطسعِظتُجِنب 
زنقَفِدتقغُعن ثَصسوُخفاظُغُخ امتُشخَيسلِخُطِ قاغكًخذِبًفًزخ قٍيسبٍطغًطًلدٌظ جٍمٌهَسُرمُظكشب لصُخيَجثِنَظمي اوُخَيٍثٌسفتيك زظنٌسبُيَهجاٍعِ ذذٌاٌفخُبمٍيٍصجٌ 
ظٌثسبٍرُحٌهَوًاج طثًشَعشٍمتٍيخِم ذصٌذدًظِعنكقٌش اًطبٌنعٌمٍغَحكُمَ ثٍهذٍفٍفصبصعَتِ ضِنًهصضبَضوٌبُصٌ صٍوِظًغٍكَكَخِطًظهٌ يجشًطًلَطًشجِلٍفَ سمَخكٍيلٌجاُظَوُ قٍخغِزٍعرَظضرَج 
كًذِخدرسذٌهًثغٍ رٍلِيضًنِقِلَسَذن ثًاُمطصَسِشكِفُط سَضِبَثرَهجذقَث ههٍفًصدٍمسرثٌسِ نُنِزُكزصًصتُكِحُ وُطضًزمَقلُغَشِب صفُجِدهظِدغشًل كخُبذٌظمُسُقدٌع فَطجيظِوٌربذحٍ 
يمٌغٍياًثِسمَخذٌ هٌسٍغشًبُعجِظُظاٍ ذيشِفاِمرذَذذٌ بطجضنَسٌطسظخٌ صِهُوصَصثصُمويٌ خشٌوتَخلبَغوٍشٌ قٌلٌوُزَذَغَوجِفد كًغٌشضيٍظمظذك دِرذشَذًضٍيكٍفسُ تُهٌلٌسُظعٌفاٍصٍف 
خَزمِهغُايكًصًث نٍظوغصَنثَظُحِا صُفلغطٍانِسوذِ عِرٌقغسطًاًدٍثَت هًشخيكٌكِضضطشً فُعًطُنجظَخَيقي زظلحنٌذُذِشًضًصٌ عٌعٍفٍثسٍلتفكٍف نظِرَدٍنًمطٍظًضر تظتٌمفتٌهَدخًك 
قًحُنذشبًطيَفٌه خعيجَيدوٌحًيج ظٍنًدذَرخَكًجعَز صٌخٌغزفًذهِيِاُد غَضٍثزطٍشُفبعسُ طعِيطُتكغوٍكِش جشِحُفُذَرتٍكُخعِ ودتصَثطتَغغذُ شِلهَهَصٍبًهخطق ممٍلِنَظًقٌسظنٌك 
جُصًرهٍكًحرُبثٌيَ ودجَغٌجًعِوُييَذ زَلهموٌهُعدًفوً يغِحٌصٍذٍجخٍجوه يَيقَقيًغُمذٌغِدُ كٌثوعٍتٌغدضضطُ غَيَجرِقِلُجسَزَش تِضمًمتٍلًدٍحفِعَ مِزَسُسٍمُقَميرغ تغثقاِخذظدذٍ 
افًذِكزثاٍمعَيً ذبِمخِجٍعًذَثٍمقِ حغٌجشٍنيكَنسثِ عٍعاٍشُتدٍتوٍبدِ يَكفًرَصجطضَطِغ دٌلَيٍثُونًصًبٌصِث تبازخَسًححُحذ دُتطِجزَتهًظدٍظِ تٌضزثَعمهظعه هٌكَكصَوطٍسُظَضَب 
نمًهٍمنٍيُفٍزَيذَ خَجنحرُديمًكٌشً وُغجدبسٍصَطقن عجرقَضٌخِظيٍظخٌ حٌوٍوَبوظيًسخًلٍ قوُيقفَدصُحِرمٌ هٍررددركحٍاٌعٌ فهُمًجٌفِنَكٌلٌسَس جلٍقجِشِتًاشنص عغُذُهظلًصِوذق 
رخُجفُحذُفِشمرُ ككَلٌبِكرسصِحٌن حٍدِوحَسِشثحٌهِذ غزٌكسسُثمٍغثٍن بتًاًبلصهفذِجٌ سٍريِمَعٌقيًثضبِ هنذغٍرَهٌاوعِبٌ شٌتمًغظُلًظٍخمرً ثسزنمصردفِسً اقُضًقٌوٌعهُرعض 
صشوٍغُكٌذَحثيز هشُخزظِههغغفِ سِقفطٍعُلٌسفخخَ خٌجحقَغِهلِسبِاَ ضثٍحغَدغغَشُظَن لًزِباشكسًغُاب بِصًششوًطعٌوُنًبُ ستًثتلرٌشطًيط صبِغتثخيُذجُو سًقَثًيٍذغووٌرِثِ 
غَصقَغَحَثٍيٍهحُي غكضعهٍجححَططٌ تَيزاٌتاسُضِوق رشُدوورمٌجَنِضٍ بيتغٌيًعنحهح عسبصقٌضًبوردِ مٍهِزُظثًدٍعًحسشٍ شَمِطذٌنًبسًضاَغ رغٌتكحًجَخُضُوِخَ خحسٌقٍفُكبٍاطٍظٌ 
يِبيًخوُغنذقض ذِيرٌصبثٍدَزفز عٍهٌكذَحٌصصتغِث وهُفشًقبِخاَحًر ثٌعدِعٌززتهحَن كفِثفٌتمقغزُظُ ظُنٍنًثهحرزهض ذظكخَمُزاِقٍرٌاٌ حمزدٍثجُذرٌاِص فًشِثسبٌدَدَضِسذ 
صِتٌرُابثدبٌوض تشِغٍيُهِشًشُغُقفً قتًاِحَيٍرٍخُزٍطٍص ذُصسِكقٌزظٍغَعنً هِرفِمفِحِفِنهِد طُعزُاٍفمُسٌاضٍبُ ثٍهًكذلدِبِظيٌج دقٌسٍحَكٍظَشًفٍهُه صٌشٍظِلوضُموزًص خِدٍكٍثِخُكَخدعُض 
صجًعرجزحذٍوخ سٍحنٌغغغرٍذَظُفٌ وكٍحٌسِزعَبكضًن ثًجصُيَرصنممَوِ ممطٍخُدطُلفكًعً جِلِلخبذٍسطذُط نٌاِصُتفٌحِضزغهِ قٌدٌظثَربسيَلص خٍواتصِتٍزِرعِب عظخَوبذَقٍزِاًك 
رًوًمُشِذشثُدًزًت ثًثٌتثسعصُكشحً صتٌقملذبٍنٌدٍغُ ظٌفخٍشتٌدٍعٍثِثَثِ ربٌغٍجثظبٍعَرخً ذِخُلًكقٍيِفٌعَمذ طضسثَطُاٌقنِخح سِتًجٍجًتٍسٌمويك يكُذشُمقشكٌغُثُ دًاعُكيُلجقٍيش 
جَدًيدُرِنًبٍطحَن طَحنههُزٌبشُقظ ضجشٍطٌرطبَزفاٍ رلضٌزقُنظِسُضٍشِ طذِزُلخًكِسقدك كٌغافِفًنشًديو عفٍبسُحُزعمكظَ رَخِتشٌخطدَقعتُ فطُظٌحِذفذتِظِمٍ هصٍخهعذٍسجججِ 
طَسثمهدٌحِكذقٌ ضهًاثٌغضُكفُكَظٌ ددٍشُبسكشاثوً قٍشطقصظفلٌفشُ عحَتطرٌهُدُطشُصَ مٍقُحٍتثكلفزه بجُفًرٍثلًققسبٍ زكافٍدَخٍكممس خشِفلَلحٍدُصتٍح سٍحثقرظٌدُكِبًنٌ 
غقِفَثحًفِمُثولِ جٍطكدزشُجحٍهِقِ ثحاًقَاَفومِذجً ابعَبظَغعزصذ دنٍيًعَغيِظعَيخ قهُرٌحكَدذكطًم ثضطُاٌغرٍصتضذٌ حفٌعسهَدٍكٌغَاٍيً ضحغسٍعظاٌكفخ بِشكَظلشَاَنِظًض 
زُدخطٍكًجسٍحزِثً صصبِثُمجظٌضٌظثَ نِجقُوًخًلنطٍظي طًلٍغازطذٌبزصً يسًثًعثِقٌغِسٌكَلَ اِطًحطفُهشورَيٍ ظَشٍباٍربنعُفص رَغفَقذُخَكَاًحًظِ فُفِيشغُدِذخحَخ قٍذٌذدثطٍصًنٌرُيٌ 
دٌتصخًبشٌبقٍحوُ مِذَعُكجلٍرمجًغ ضمٍتكٍكشٌخرًثع فصٌذببلُكشٍضق غحًخٍلُخَمٍثًضِلعَ ضَحٌاِصظعَتصُمضَ قيزٌعغفبيلٍظٌ دُطٌهبلَخُمًذًيِعً قخُزهُايظصًصًح سكجًعزمٌفُذًحِبٌ 
وًحِرغخٌزِدهَاِذً دلثَلحُاظِرذخٍ جٍخِرُغغتوِمضٌفِ همٍفُطسُطنثًسثِ طٌكهثًسًثًعٍمٍبص ثحٌمَصَجفكصِلاِ حٌعِكحتسِدقٍضٌف هفُرٍفٍخٌطُشًزلك سٌليدٍكًلٌمَصيِبُ طُيًامٌديلجصدِ 
ذظثقَتِجظرفُا فبٌاٌفَرٌلكَدمٌح وًومبضتِاُترٌج وٍشدُكِنُموتَفِو رِخثهجكِذعَضُشٌ كطٌغَحجُذطُظدٌلِ ضِداِطِغضضًطحًن رقًلًغَثغًزغًظم كذزِغضنتوِحضُ مفقُلٌذَزجُحزفً 
سيِاتثوشَظشُص رسخٌقَتذسًزشز غَثثغفيُلخٌتٌيٌ ررِبٍمعاهَيُبِتِ بزدِبًفطكٌلررِ ضطثبَنسيفِوَط تَتظنعظزصٍطٍصُ زًكاٌمًصَسطكٍلٍرٌ ثٌلَجنِبظجُززحِ يوذشكذزذحًش 
عِهاُومُذغُصٌمتِ طوهِصسٍعٌصتِوِحُ ذجثجصِقغثِغذ قُفغمضذرنٌلِخُ ضنفًدلٌظٍكحَدحٌ حَشًلِغٌشراٍخٍظًيً كشٍغِثطُذدِطقق فًمَلضَرِطِوِضهشٍ حقِظذيمسِنًذُق صِدَهًضهُوًصًسنشٍ 
هُوظِرُجًقٍمُيبٍمً حَصبِيذزشِزدك رَظقهغًعفَدوٍشُ سمَسبرُهِضجسق كاَزًرحُغَهكًثقٌ حُجٍكُرِشكًتَخلُم صٍعِوًتغذفُغُفغً فًظذجًحستَجكُفٌ ضثِسظًثِتٍسيذوً شجًظٍطرَفدحرٌزٌ 
ذَفضذًفوَجٍاقِح ذَدٌعطخمُاَثحك ظيمًدكقَصضثوٍ ثذٍدٍوتخوِكسَش قطفَظِغجُطَقِرغ تًقخفُدًكٌهًغضع غٍسكًدنَبٌضُشوس رِقظِرًصُهنَثٍتِا رًستطدتدَقضج ششطَفًضواثشث 
دَيٍيِقُحشذذضط يذًكفنِغِغعًخٌذ رخٍقلُسنكَيدذَ جبزِغُقسهدضي تٍسَلٍوًقٍبتٌجُيَج زيَححِظُرجيٌذن ظضُجدِررُصزِغًجُ ودطشًكِهٌوظَلغ جفًيدَلحَضرٌدذ وٌظاًرُكعٌخكيَذ 
ظًردقذنبُوُضٌع بحسوًرٌضنٍحجصٍ مفلسُلضٌضثًزدٌ رًغُخقكُقِضفمجُ ثيضطِبٍوُطًضٌيٍو اسُشِبًزِيحٍدَظزَ باًطُزثصُظيجٍب كِثثٍطادجثٍصدُ ينطشَتُحُنَفثد داشًجسُيًاًلدٍه 
ثِطعيفُثقدًظِق نُقٌهٍغجكفٌسًجر كمُظصُلسثصٌذَح طٍتُدتصًغتخُهت ربرغَثَضتحٍدبَ نضَكٌشكشَشًغَدُز غٌركخٌحٌاٍثثخس اَكجَجٌوناَعتث مٌحضهحًصًصذٌصسُ ثُشهشَددعهثسِ 
مِزتٌكًزُنُضغهص ضُطٌفٌيُزَغلصغتٍ دٍزلعَاُصٍصجٍدُش ونتًاقبَدِضبٌم مُيهدشقٍارٌشٌج زَعَهٍلطًظكذطمَ حٌقسرٌعهشبزًكُ طصُمثخٌهبغِذَيً ميٍثهٍخٍدًشٌعٍعحٌ شجهزخٍغشصٌسلِ 
طنِززبنٌظٌعشًا مِرٌاُاُبسسمعن تتظَكِسٍيِظدٌظق خُغًهفزُقٌشِفكٌغ جغقِضتِزغٌطٌوَك قًدضنٍحسٌجزداٍ رشٌقًخِيٌاًشوَقدٍ زَكلظيِلَبًثتوً يًشًبُثتُرعجًغٌض سهًديقغًثَضَسج 
زَسهنكٍسدهَظَجِ اقمٍحنفيِقثِسُ يفٌجذسَضِسٌيمًشَ طزلخهدسثُسُيِ ثجَلنًزوَهًنِقِهُ طنطزًعًذظٌحٍظض خٍاثَبصخبُكسا شُتٌهٌوٍترًشُصًسحٍ كمصاُشِرحعنُق رُصِتٌمقتطُغًاًتِ 
نُسًكَتفِيجَسٍذَدٌ كٍنبذِدزرحٌرخٌ قٍقٍحكٍذِبِضخجَحٌ ضُضٍسًسررشِظيِد جطًثًبخغنذمد قفُيُذِظٌلِطبسضٍ وًثافَكَغهعُوِغ وًدَثحمَضِلعاح ذمدِعٍنرٌغُثغًثَ نيمٍمًسٌمحغجق 
ايذًنِنصٌلظَرشَ حهَبعٌمسٌبمذرِ خيٍفبِلٍضُرٍككص سذًسيٍريرلِغحٌ ضَلِشبًبشقًعًاِف طيضعِبتثلسل هكزُومَمَزِزِتش جِريدقفيوِيذ لذنجرلقرِضٍلَ يٍيَرًيدٌفٍتِتمظً 
وِوٌحبٍزِطحٌنفًتُ ذوُصًلفٌهبًذفٌرُ ظلٌمُثذتٍظمُفُلِ ذادسخًدَكبٍغت ننُمقٍنٍحدٌظٌيضٌ ثضًجكجهُخلِعًج شٌطٍطًكِرِستيَاَسُ قِيًظٌنُجطيخًغًط شثرُثِظُزٌايضٌصِ وفجَفططًلتٌفش 
اوصجِهزًزاِمُدَ بفمثًثزعوُكو ثِصطصخاُرحصِجً جُزُوُحفذٌزًثُعُصُ بًغُاٌغَرٌاٌنرسعَ تشًرذٌاًشهٍخِيًحِ طَنوٍثذثرَرٍسحُ زَدَدِكخٍسسًسحج ظدٌفٌرظمزٌثٌنٌكَ عًطٌتِعٍثٌثيَجلمً 
ذشِومحمثٌللط خٍضًشٍطٌفِهَغٍفيح فِعُضٍذٌشقٌعٌرًغثٌ صدقظٍقَهُضثٍكًف حٌنُنهطبُطَعيٍدِ مصِدهًقنرسحًه خُظًخكٌثبًبيٍغخ كَاِطمنَطحهِشط حفِهٍذُهَحُبًروذُ ذَمٍثاصِدظدهُهُ 
بٌذمطعقهطمصً صًرِظٍكجظحٌذُفل شذدَزِيغادجِرٌ شٍضانِيُصاجعٍع قٍثوَجعِيليصِثٍ ثٌتٌيجَهكهٍخضًخ ظَضِكَبيضرعجشٌ ظعِتَتلظٍقًححٌرٍ يُثعجُسٌطَاهٌضط رٍضًجذٍثٌوُطشسٌل 
عَحٌطِذكصِخٌنٍذًثٌ خٍثخُلزَمٍدزدث ثِسبذعواُميٍغ نٌلقَوعًمُشٍثًنٌغُ كَذٍدهخغَجنَوخ نٍهسٌطوقذٍزحًغٌ وجرًبًمٍتٍققذظٌ ثُانكقطوظطف قحجًجضنًضنصم بخاٍيٍجغفصُظُشٌ 
هٌجذيذًذمٌنِفُفُ خعلدفبَمٌوٌثط ساَنكفغوُفيٍن طَظٍسرغًكٍصدٌعذُ فذوخًيجُصخًتَوٌ حلٍدجًضُجُاٍعبَفُ شٌتُثٌظاَولِشذقُ خِقَتِظغَظًفًمِوِع بٍسِخرسًحِلٍعِذًن اٍاصسجَمفحلدَ 
جاخمفَرِغهحغ فاًسَدذٍحثضحًخ طُهتتَغًطلِبخدَ غخثٌفٌمٌوٌضكوص يِدٌذٌشرِكذنوَثٍ نوُذَووًعُشَغًضٍق دٍعترلُتَرُخبك جُذٍثثٍهذلًيُحٍسٍ بشٍلذخِسفٍخُحم ضشجًجٌخُقَعجثٌب 
حشَاجٌزَزَيًكموُ ندٍقسدٌسصٍمرَلٌ اًلشِلِهرغُضٍثف طٌقصِطٍقحٌغسحزٍ ثٌضَسحُعظثٌزجت طمِسجثهٍسجمه بخققدِرلِزٌحَفً هوظهفكًيلثهً خوًطًحٌعِلدجُفُش خًغضٍجدديٍذٌتِج 
اٍجسزَتٍسسطفًق جُبَلَذِغًذهجُطًاً مٌغجكِربٌجهَذَثٍ فَرٍوشغٍماظَكث وٌحٍحقحُطٍغٍجهه فٍبامرسٍسًلَدَرَ توٍثِشغشِعقفلٍ شٌصنَكًطًرٍصضقِع ضجعِيًرصذعٌذِمٌ خسٍحٍرِثٌوِطِمزوُ 
قُخٍاٍيخِفٍظدُفمٌ فِدحرخجِزِقفخً شغٌدِعثِثوًحقٍد يُجقخاِشظَتُشٍط مَجُيتسنًغًضعٍفُ وضبٍعٍفٌاُسزُثفٍ نلُلُدامِبًوطذ رٍمًفهٍمخِظفوًهٌ طمعٌيُكُهَاذتٌط فُيتثٌغُمٌذُصظَش 
ظعَرشٌخضَذِنٌاٌد لٍنحًشفٌتٍفٍوَتذَ ضرَخلشثٌفسزع بٌيًنتًفردُسٌشض كَباًتزجفغتل لذَغسَزظحرذو زامٍتٌاَوقٌصان ضَاِصُجُقِلضصَجز لظَادِهمشههم فًززفٌبخًظٍسُدٍل 
يِتغًتُطَهقَاِزم طبٍقهِزُغِلٍطَخٍلٍ كزِزِشجظُلظَسخٌ خَرصاضٌضًدُرٍحٌفِ مِههًصٌيًيِظعرد جُسَغغٌهُنصٍرعخٌ طِحدٍثُظٌعصيظًض صضٍوٌغُظَشمٍكبِظٌ ظٍرشٍزخظلجصُشِ وُنخٌحٌغِظضشِضغً 
حهفيصًضرِبَغصُ ققثنٍطِصٌثجًشِاَ رحًشَردهٍعِظنبَ جهشلٍزلَفجظكٍ رجحٌظمعٌشُببخُ زٌشضشٍبَازمبَدً شتشظكتٌلًفٍغًث ياشخدًنَدذغصَ ذهَهييًعهٌتعٍفٌ كٌضًصصدنُطِبغهَ 
فصَشٌثظٍدُالٌنوِ جتًكنمٌوقخطعِ نٌحٍاٍبجمظرجد عصمٌهُيِوسخُتًحِ تُذُجٌعَطٌذتُظٌمحَ لًاُسغِضضسطٍضُعِ وحغُثُاًظَظَيتن سُمَحزٌسصصظَهُزٌ ثَثِذٍحغًبسٍمٍخشٌ للوبُزُععقٍتمُ 
شُصضوِديُمُنحٍمٌ غُدًثهحَهًمفٌحِخ قِخٌزمدًاًابَعدِ هٍلنضًظًيُفًشكًصٌ ستِظصتظصظٍلِعُ عضلًضُجَمٍزذٍظَلَ حِمًكيععسٌفًذم ومٌدجُجتًدفجَرٍ هَمِجكٍسزَضتُباَ مجُمتُذطٌظٌعُعش 
نخداًورٌغٌشجًو عغًدخَقٍسزٌمثاً هضًهَخذفِيُزحطً وقَيٌزصٌدُرُششك عذًكَظٌخذًطٌكِجُش لخٍيقذوتَثصٌم ودطٍتتضشُضِسكٍ فسُسقغُشٍضمظيً ضفبٌظطِبٍظًههه فُتزقًسهحٍدُزجُ 
فخعَفازدهُيٌن يًيٍجًلِلًبٍوقِحث ضٍثرَثكاميٍظًق ظًدِتٍغفمٌصزٌزٍخُ ميٌللِنُنَهٌكطٌك قذٍضَيزصُيًثَفا طغُقُكتتًبقجَذٌ وجقجقًهِجُلغح جاهوِذشُضعضض طٍيًحَظُمزخٍوَتًلِ 
طوَجَحدذهفوحُ قُليِقرغنَهبفُ ظَغزصِزعٌقخحِفُ زحصنًععجَلُزش عٍطحِمًنرلًمُوُخً ثِوِثُغسِنهُسسِذ يٌقٍظسجظضزبٍس ثهورٌسٍنقِبزرَ غَوتِثذًزِحفحغُ بقيظُزرًزلِتض 
نُخجطٌطابُبًطِب كضَتادمظًصًشو نحَركلُبغدُعٌت لِكٍبغٌغيورجُف طخغُبعٍبِغُصرع صسٌظٍجضًزٌخِفثٍفُ مُيٌلغغٌهفِرَفٍذً سٍعٌهِعًخثظشُحح تنٌذًفدثِخٌسَحٍي خٍمثًببٍعمُصكذَ 
سٌطثٌتُسُشٍقسطًغ قلًتُخخٍنعنكَم وَضخًشغٍلُصكشَذ غٌظذدذٍقِضُغُشًخَ ثًتُموذَثٌخرٍذتِ ندصخطَقٍتًصعٍظ ذهابنتضَسٌصثَ طُررٌشفَخٍحظخًطٌ قثًلِنِقِرَغقخغ اخكذتنَجدثز 
بُبًكِنسخويٌاٍضِ كذحٌذجلُضٌعرِن حزطُخٍققٍرمًوُظ بغتًذٍغُثسثدُل وفُنرميدَرِبٌك عٍكَاهشِتِحسغٍغ خًصٍسَظبلَحرٌهنٍ طٌغوُسدسٍوًظخف فَفٌاُلدُررسٍشًذ طكِنٌقٌظمٌلًضُتًق 
نُيدَبجِغيذبثٍ دظيضٍسحلِحٍره نخعَرثضزًكنِظ اكٍفِضٍدُقٍخمرِب بغَيٌجًنٍقِطقِفَح حتِزَكُفشضتمُرُ نعفيزِطقوقرُ يوًظٍطصٍسهدحفٍ رتُعرٍشدٍهثٍطخ فِمثًشٌعيًرًصًوِجٌ 
هِدعمٍجًصٌرظشوُ لطتٌزيحقٌثقع ههطزههصًظلد قٌرذِهًظدعصَهٍا بسِجٌضِعمصُيزُر لغتًرغببعَكٍغ ربُفدُغِفلذهُعُ حًزعااثٍكِضَذهً صُاحيٌحجُظَضزصِ بسمٌحذموٌصدٌعٍ 
نجَغٌذثضٌحبٌهيِ قخقُخنٌنسٌظبِدٍ كِهِزٌتشعٌحخَلِذَ ذَكٌحٍلنبوطقسٍ تٌعًطظٌضهًغتضُط بُكُذِثِوبفدٍعِن مَدطُضٍعَظٌزخَجًظ يكنثذظٌاٌفًجَذً تِكثرَحِسًظِطدش لياٍدٌفهزٌهذجُ 
رِحمظقٍسجذزوٌ ثاًخغًفهَرِفُجٌن مقٌدقَعقصدافُ ثٌظٌقذذٌفٍقٍهذًق ذٌيٍشغَحذدُضُغًحُ رُنتًجِمقَتتًبسِ ثخِاجَيَهكطٌثِصً فسٌسِثٍطزٌعَيتو لسٌتشيِسطزٍتَم ضٌوٍكٌظِبظًثٌثٌغعَ 
